source,language,package,function,n_calls,n_deposits
dataverse,stata,balancetable,balancetable,376,63
dataverse,python,scikit-learn,train_test_split,266,63
dataverse,stata,gtools,gduplicates,765,62
dataverse,stata,outreg,frmttable,692,62
zenodo,python,numpy,mean,1081,61
zenodo,python,numpy,abs,574,61
dataverse,r,rstudioapi,getSourceEditorContext,203,61
zenodo,python,numpy,where,724,60
dataverse,python,matplotlib,close,629,60
dataverse,stata,rddensity,rddensity,129,60
dataverse,stata,stop,stop,101,60
zenodo,python,numpy,sqrt,984,59
zenodo,python,numpy,exp,864,59
dataverse,r,purrr,map,603,59
zenodo,python,numpy,linspace,526,59
dataverse,python,numpy,isnan,807,58
dataverse,stata,relogit,relogit,450,58
zenodo,python,pandas,read_stata,323,58
dataverse,python,matplotlib,title,287,58
dataverse,stata,rdrobust,rdbwselect,746,57
dataverse,python,pandas,read_stata,368,57
dataverse,r,tibble,tibble,302,57
dataverse,r,scales,pretty_breaks,296,57
dataverse,python,numpy,asarray,1994,56
dataverse,stata,texdoc,texdoc,1993,56
dataverse,stata,psacalc,psacalc,564,56
dataverse,r,tibble,rownames_to_column,324,56
dataverse,r,fastDummies,dummy_cols,225,56
zenodo,stata,geodist,geodist,194,55
zenodo,python,numpy,random.seed,270,54
dataverse,python,matplotlib,ylim,197,54
dataverse,stata,texdoc,tex,15980,53
dataverse,r,stringr,str_replace_all,411,53
zenodo,python,matplotlib,figure,398,53
dataverse,r,ggplot2,theme,380,53
dataverse,r,tibble,tribble,217,53
zenodo,stata,labutil,labmask,185,53
dataverse,r,RColorBrewer,brewer.pal,162,53
zenodo,stata,gtools,gcollapse,842,52
dataverse,python,matplotlib,xticks,260,52
dataverse,python,scikit-learn,accuracy_score,179,52
zenodo,stata,winsor,winsor,576,51
zenodo,python,numpy,max,329,51
dataverse,r,readr,read_csv,238,51
dataverse,python,numpy,argmax,216,51
dataverse,r,tidyr,pivot_wider,161,51
dataverse,python,scipy,stats,134,51
dataverse,python,numpy,std,428,50
dataverse,stata,mdesc,mdesc,953,49
dataverse,stata,fitstat,fitstat,580,49
zenodo,python,numpy,concatenate,455,49
dataverse,stata,maptile,maptile,216,49
dataverse,stata,mplotoffset,mplotoffset,384,48
dataverse,python,numpy,round,317,48
zenodo,python,matplotlib,xlabel,399,47
dataverse,r,kableExtra,kable_styling,262,47
dataverse,stata,kountry,kountry,261,47
dataverse,python,numpy,argsort,246,47
dataverse,r,dplyr,distinct,224,47
dataverse,python,matplotlib,xlim,221,47
dataverse,stata,ritest,ritest,691,46
dataverse,r,stringr,str_detect,534,46
dataverse,r,texreg,texreg,213,46
dataverse,r,remotes,install_github,97,46
dataverse,python,scikit-learn,CountVectorizer,91,46
dataverse,python,numpy,unique,456,45
zenodo,stata,carryforward,carryforward,449,45
zenodo,python,pandas,read_excel,322,45
dataverse,r,countrycode,countrycode,181,45
dataverse,stata,catplot,catplot,170,45
zenodo,stata,parmest,parmest,1194,44
dataverse,stata,lincomest,lincomest,1138,44
zenodo,stata,ppmlhdfe,ppmlhdfe,1003,44
dataverse,r,ggplot2,annotate,360,44
zenodo,python,matplotlib,tight_layout,280,44
dataverse,r,modelsummary,modelsummary,239,44
dataverse,r,data.table,fread,141,44
zenodo,stata,gtools,gegen,1525,43
dataverse,r,dplyr,lead,567,43
dataverse,python,numpy,min,308,43
dataverse,python,pandas,to_numeric,267,43
dataverse,python,numpy,random.choice,180,43
dataverse,r,tidyr,gather,180,43
dataverse,r,lmtest,coeftest,160,43
dataverse,python,matplotlib,yticks,147,43
dataverse,python,scikit-learn,f1_score,143,43
dataverse,r,janitor,clean_names,114,43
dataverse,stata,mmerge,mmerge,1784,42
zenodo,python,matplotlib,ylabel,347,42
zenodo,python,matplotlib,close,321,42
dataverse,stata,ciplot,ciplot,186,42
dataverse,stata,psmatch2,pstest,156,42
dataverse,r,dplyr,count,135,42
zenodo,python,numpy,asarray,561,41
dataverse,stata,gtools,greshape,487,41
dataverse,r,ggplot2,ggplot,169,41
dataverse,stata,outtable,outtable,137,41
dataverse,stata,synth,synth,619,40
dataverse,stata,csdid,csdid,285,40
dataverse,python,scikit-learn,classification_report,192,40
dataverse,python,numpy,dot,839,39
zenodo,stata,regsave,regsave,682,39
dataverse,r,sandwich,vcovHC,428,39
dataverse,python,numpy,vstack,400,39
zenodo,python,pandas,Series,305,39
zenodo,python,numpy,isnan,290,39
dataverse,python,numpy,sort,286,39
dataverse,python,scikit-learn,LogisticRegression,135,39
zenodo,stata,boottest,boottest,1443,38
zenodo,python,matplotlib,plot,684,38
dataverse,stata,reghdfe,estfe,551,38
dataverse,r,plyr,mapvalues,326,38
dataverse,r,ggplot2,aes,256,38
dataverse,stata,revrs,revrs,190,38
dataverse,r,scales,number_format,176,38
dataverse,stata,ietoolkit,iebaltab,127,38
dataverse,stata,sutex2,sutex2,96,38
dataverse,python,scikit-learn,TfidfVectorizer,68,38
dataverse,stata,xtscc,xtscc,672,37
dataverse,stata,did_imputation,did_imputation,319,37
dataverse,stata,rangestat,rangestat,285,37
zenodo,python,numpy,min,142,37
dataverse,python,scikit-learn,confusion_matrix,105,37
dataverse,python,numpy,append,778,36
dataverse,stata,acreg,acreg,704,36
zenodo,python,numpy,round,303,36
zenodo,python,matplotlib,show,267,36
zenodo,python,matplotlib,legend,255,36
dataverse,python,torch,cuda.is_available,198,36
dataverse,r,psych,describe,185,36
dataverse,r,sandwich,vcovCL,147,36
dataverse,stata,cem,imb,112,36
zenodo,stata,rdrobust,rdrobust,1620,35
zenodo,python,pandas,merge,667,35
zenodo,python,numpy,empty,569,35
dataverse,python,pandas,read_pickle,274,35
dataverse,stata,parmest,parmby,263,35
dataverse,python,statsmodels,ols,246,35
zenodo,python,numpy,unique,224,35
dataverse,stata,palettes,colorpalette,174,35
dataverse,stata,statastates,statastates,121,35
dataverse,python,scipy,norm,88,35
dataverse,stata,ereplace,ereplace,938,34
dataverse,stata,cmp,cmp,300,34
dataverse,python,numpy,hstack,290,34
zenodo,python,pandas,to_datetime,200,34
dataverse,r,rmarkdown,render,140,34
dataverse,r,stringr,str_to_title,117,34
dataverse,r,haven,as_factor,113,34
dataverse,python,transformers,AutoTokenizer,112,34
dataverse,r,dplyr,pull,101,34
dataverse,r,readstata13,read.dta13,89,34
zenodo,r,knitr,opts_chunk,65,34
dataverse,stata,heatplot,heatplot,64,34
dataverse,stata,firthlogit,firthlogit,389,33
dataverse,r,rstan,extract,247,33
dataverse,python,torch,device,233,33
dataverse,r,knitr,opts_knit,224,33
zenodo,python,pandas,to_numeric,199,33
dataverse,r,scales,label_percent,175,33
dataverse,python,matplotlib,grid,93,33
dataverse,python,numpy,empty,843,32
dataverse,stata,geonear,geonear,648,32
dataverse,stata,addplot,addplot,553,32
dataverse,r,plyr,join,267,32
dataverse,r,kableExtra,add_header_above,260,32
zenodo,python,numpy,maximum,220,32
dataverse,python,matplotlib,rc,180,32
dataverse,r,kableExtra,kable,172,32
dataverse,stata,sxpose,sxpose,152,32
dataverse,stata,orth_out,orth_out,123,32
dataverse,r,tidyr,drop_na,114,32
dataverse,r,dplyr,n,94,32
dataverse,r,estimatr,lm_robust,631,31
dataverse,python,numpy,tile,352,31
dataverse,stata,event_plot,event_plot,306,31
dataverse,python,pandas,isna,272,31
dataverse,python,numpy,median,236,31
dataverse,r,glue,glue,213,31
dataverse,r,kableExtra,save_kable,204,31
zenodo,python,numpy,diag,193,31
dataverse,r,ggstance,position_dodgev,191,31
dataverse,python,numpy,maximum,171,31
dataverse,python,matplotlib,scatter,139,31
dataverse,r,tidyr,separate,132,31
dataverse,r,plyr,rename,127,31
dataverse,python,seaborn,set,107,31
dataverse,python,scikit-learn,recall_score,74,31
dataverse,python,scikit-learn,precision_score,74,31
dataverse,r,renv,restore,36,31
zenodo,python,numpy,dot,1167,30
dataverse,r,lfe,felm,357,30
dataverse,python,numpy,full,353,30
dataverse,python,numpy,diag,293,30
dataverse,python,matplotlib,pyplot,215,30
dataverse,stata,eventstudyinteract,eventstudyinteract,215,30
dataverse,r,plyr,ddply,211,30
dataverse,stata,leebounds,leebounds,206,30
dataverse,python,statsmodels,OLS,160,30
dataverse,python,scikit-learn,RandomForestClassifier,144,30
dataverse,python,numpy,cumsum,114,30
dataverse,python,scikit-learn,StandardScaler,98,30
dataverse,python,matplotlib,use,72,30
dataverse,r,haven,write_dta,58,30
dataverse,python,nltk,stopwords,50,30
dataverse,stata,ftools,fmerge,958,29
zenodo,r,dplyr,filter,647,29
dataverse,python,numpy,repeat,345,29
dataverse,python,numpy,random.normal,258,29
dataverse,r,stringr,str_replace,250,29
zenodo,python,numpy,zeros_like,233,29
dataverse,python,matplotlib,gca,160,29
