source,language,package,function,n_calls,n_deposits
zenodo,python,scipy,comb,3,2
zenodo,python,numpy,ctypeslib.as_array,3,2
zenodo,python,pandas,unique,3,2
zenodo,python,scipy,hstack,3,2
zenodo,python,scipy,stats.gaussian_kde,3,2
zenodo,python,scipy,linregress,3,2
zenodo,python,test,check_syntax_error,3,2
zenodo,r,sf,st_geometry,3,2
zenodo,r,plyr,round_any,3,2
zenodo,python,scikit-learn,LassoCV,3,2
zenodo,python,utils,within_tolerance,3,2
zenodo,python,GDAL,gdal,3,2
zenodo,python,googlemaps,Client,3,2
zenodo,r,sf,st_as_sfc,3,2
zenodo,r,sf,st_write,3,2
zenodo,r,data.table,setDT,3,2
zenodo,r,fixest,fixef,3,2
zenodo,stata,a2reg,a2reg,3,2
zenodo,r,fixest,feglm,3,2
zenodo,r,terra,mask,3,2
zenodo,r,SparseM,as.matrix,3,2
zenodo,python,tensorflow,ones,3,2
zenodo,python,scipy,griddata,3,2
zenodo,python,netCDF4,Dataset,3,2
zenodo,python,numpy,maximum.accumulate,3,2
zenodo,python,otree,Submission,3,2
zenodo,python,otree,expect,3,2
zenodo,python,pandas,Timedelta,3,2
zenodo,python,pytest,mark.parametrize,3,2
zenodo,r,tidyr,replace_na,3,2
zenodo,r,ggplot2,geom_tile,3,2
zenodo,r,dplyr,everything,3,2
zenodo,r,purrr,map_df,3,2
zenodo,python,numpy,logspace,3,2
zenodo,python,sequence-jacobian,het,3,2
zenodo,r,ggplot2,geom_col,3,2
zenodo,r,quadprog,solve.QP,3,2
zenodo,r,data.table,set,3,2
zenodo,python,jax,value_and_grad,3,2
zenodo,python,matplotlib,yscale,3,2
zenodo,r,rstatix,t_test,3,2
zenodo,python,torch,Linear,3,2
zenodo,r,sandwich,NeweyWest,3,2
zenodo,python,numpy,flatnonzero,3,2
zenodo,r,reshape,melt,3,2
zenodo,python,cvxpy,Problem,3,2
zenodo,python,cvxpy,Minimize,3,2
zenodo,python,nbconvert,ExecutePreprocessor,3,2
zenodo,python,pandas,Period,3,2
dataverse,python,scikit-learn,calinski_harabasz_score,3,2
dataverse,python,scikit-learn,davies_bouldin_score,3,2
dataverse,r,textstem,lemmatize_strings,3,2
dataverse,r,naniar,vis_miss,3,2
dataverse,python,networkx,write_gexf,3,2
dataverse,python,networkx,get_edge_attributes,3,2
dataverse,python,scikit-learn,label_binarize,3,2
dataverse,r,tibble,column_to_rownames,3,2
dataverse,python,jellyfish,levenshtein_distance,3,2
dataverse,r,quanteda,textstat_simil,3,2
dataverse,stata,lassopack,lassologit,3,2
dataverse,r,purrr,possibly,3,2
dataverse,stata,sreweight,sreweight,3,2
dataverse,r,stringdist,stringsim,3,2
dataverse,python,networkx,pagerank,3,2
dataverse,r,cregg,cj_table,3,2
dataverse,python,ipyparallel,Client,3,2
dataverse,stata,hnblogit,hnblogit,3,2
dataverse,r,RecordLinkage,jarowinkler,3,2
dataverse,r,knitr,opts_current,3,2
dataverse,stata,repkit,repado,3,2
dataverse,r,vctrs,vec_group_id,3,2
dataverse,r,stringr,str_split_fixed,3,2
dataverse,python,torch,argsort,3,2
dataverse,python,scipy,hyp2f1,3,2
dataverse,stata,ginidesc,ginidesc,3,2
dataverse,r,boot,boot.ci,3,2
dataverse,r,renv,dependencies,3,2
dataverse,r,matrixStats,rowSds,3,2
dataverse,r,loo,waic,3,2
dataverse,stata,group2hdfe,group2hdfe,3,2
dataverse,python,scikit-learn,SelectPercentile,3,2
dataverse,python,scikit-learn,mutual_info_classif,3,2
dataverse,python,scikit-learn,check_X_y,3,2
dataverse,r,httr,GET,3,2
dataverse,r,dplyr,group_vars,3,2
dataverse,r,tibble,add_column,3,2
dataverse,r,quanteda,dfm_tfidf,3,2
dataverse,r,clue,solve_LSAP,3,2
dataverse,r,ellipse,ellipse,3,2
dataverse,python,optuna,samplers.TPESampler,3,2
dataverse,python,torch,cuda.ipc_collect,3,2
dataverse,python,opencv-python,VideoWriter,3,2
dataverse,python,opencv-python,VideoWriter_fourcc,3,2
dataverse,python,detectron2,DefaultPredictor,3,2
dataverse,python,opencv-python,warpAffine,3,2
dataverse,python,opencv-python,getRotationMatrix2D,3,2
dataverse,python,torch,unsqueeze,3,2
dataverse,python,matplotlib,FigureCanvasAgg,3,2
dataverse,python,matplotlib,patches.Polygon,3,2
dataverse,python,torch,init.kaiming_normal_,3,2
dataverse,r,cld2,detect_language_mixed,3,2
dataverse,r,readtext,readtext,3,2
dataverse,python,rpy2,data,3,2
dataverse,python,rpy2,process_revents,3,2
dataverse,python,rpy2,scale_x_continuous,3,2
dataverse,python,rpy2,guides,3,2
dataverse,r,polycor,hetcor,3,2
dataverse,stata,find,find,3,2
dataverse,python,scikit-learn,SGDRegressor,3,2
dataverse,python,shap,TreeExplainer,3,2
dataverse,stata,xtpattern,xtpattern,3,2
dataverse,r,this.path,this.dir,3,2
dataverse,python,setfit,SetFitModel,3,2
dataverse,python,setfit,SetFitTrainer,3,2
dataverse,python,autograd,argwhere,3,2
dataverse,r,questionr,describe,3,2
dataverse,r,urltools,suffix_extract,3,2
dataverse,r,ggstance,GeomLinerangeh,3,2
dataverse,python,winding-number,winding_number,3,2
dataverse,stata,lpdensity,lpdensity,3,2
dataverse,python,numpy,format_float_scientific,3,2
dataverse,python,scipy,norm.cdf,3,2
dataverse,stata,outreg2,shellout,3,2
dataverse,python,networkx,from_numpy_matrix,3,2
dataverse,python,scikit-learn,MDS,3,2
dataverse,r,missForest,missForest,3,2
dataverse,r,viridis,plasma,3,2
dataverse,python,scipy,sparse.lil_matrix,3,2
dataverse,r,sysfonts,font_add_google,3,2
dataverse,python,scipy,stats.ttest_ind,3,2
dataverse,r,ggh4x,force_panelsizes,3,2
dataverse,r,raster,mask,3,2
dataverse,python,matplotlib,cm.ScalarMappable,3,2
dataverse,r,rdd,RDestimate,3,2
dataverse,r,cregg,cj_tidy,3,2
dataverse,python,plotly,init_notebook_mode,3,2
dataverse,r,rstanarm,stan_glmer,3,2
dataverse,r,spatialreg,lagsarlm,3,2
dataverse,python,numpy,histogram_bin_edges,3,2
dataverse,python,nltk,data.find,3,2
dataverse,r,ggplot2,map_data,3,2
dataverse,r,modelsummary,datasummary_balance,3,2
dataverse,python,pyarrow,float64,3,2
dataverse,python,pyarrow,ParquetDataset,3,2
dataverse,python,scipy,sparse.identity,3,2
dataverse,r,sf,st_geometry_type,3,2
dataverse,r,dplyr,na_if,3,2
dataverse,python,scikit-learn,LassoLarsIC,3,2
dataverse,python,scikit-learn,label_ranking_average_precision_score,3,2
dataverse,python,scikit-learn,coverage_error,3,2
dataverse,python,bokeh,HoverTool,3,2
dataverse,python,matplotlib,colorbar.ColorbarBase,3,2
dataverse,python,keras,Flatten,3,2
dataverse,python,keras,Conv2D,3,2
dataverse,python,keras,ImageDataGenerator,3,2
dataverse,python,keras,img_to_array,3,2
dataverse,python,keras,Adam,3,2
dataverse,stata,expandby,expandby,3,2
dataverse,r,sf,as_Spatial,3,2
dataverse,r,terra,writeRaster,3,2
dataverse,r,geosphere,lengthLine,3,2
dataverse,r,rmarkdown,pandoc_available,3,2
dataverse,python,captum,LayerConductance,3,2
dataverse,python,pandas,groupby,3,2
dataverse,r,textir,mnlm,3,2
dataverse,r,textir,srproj,3,2
dataverse,python,transformers,KeyDataset,3,2
dataverse,python,statsmodels,variance_inflation_factor,3,2
dataverse,python,scikit-learn,tree,3,2
dataverse,python,thefuzz,process,3,2
dataverse,r,Matrix,bdiag,3,2
dataverse,r,dplyr,rename_,3,2
dataverse,r,rgeos,gBuffer,3,2
dataverse,r,essurvey,set_email,3,2
dataverse,stata,xthybrid,xthybrid,3,2
dataverse,r,arrow,read_feather,3,2
dataverse,python,numpy,linalg.eigvals,3,2
dataverse,python,matplotlib,BarContainer,3,2
dataverse,python,packaging,parse,3,2
dataverse,python,future,iteritems,3,2
dataverse,python,autograd,where,3,2
dataverse,python,matplotlib,image,3,2
dataverse,python,matplotlib,ticker.StrMethodFormatter,3,2
dataverse,python,matplotlib,Formatter,3,2
dataverse,python,numpy,degrees,3,2
dataverse,python,numpy,mat,3,2
dataverse,python,numpy,random.standard_t,3,2
dataverse,python,openpyxl,Image,3,2
dataverse,python,pandas,merge_ordered,3,2
dataverse,python,SQLAlchemy,Boolean,3,2
dataverse,python,SQLAlchemy,DateTime,3,2
dataverse,python,pandas,api,3,2
dataverse,python,pyarrow,concat_tables,3,2
dataverse,python,numba,float64,3,2
dataverse,python,scipy,CubicSpline,3,2
dataverse,python,scipy,RectBivariateSpline,3,2
dataverse,python,scipy,rosen_der,3,2
dataverse,python,scipy,fixed_point,3,2
dataverse,python,scipy,butter,3,2
dataverse,python,scipy,linalg.solve,3,2
dataverse,python,scipy,uniform.rvs,3,2
dataverse,python,scikit-learn,LedoitWolf,3,2
dataverse,python,scikit-learn,Bunch,3,2
dataverse,python,scikit-learn,RFE,3,2
dataverse,python,scipy,approx_fprime,3,2
dataverse,python,scikit-learn,PAIRWISE_KERNEL_FUNCTIONS,3,2
dataverse,python,scikit-learn,enable_iterative_imputer,3,2
dataverse,python,scikit-learn,IterativeImputer,3,2
dataverse,python,scikit-learn,ElasticNetCV,3,2
dataverse,python,scikit-learn,Lars,3,2
dataverse,python,scikit-learn,paired_euclidean_distances,3,2
dataverse,python,scikit-learn,base,3,2
dataverse,python,scikit-learn,safe_sparse_dot,3,2
dataverse,python,scikit-learn,QuadraticDiscriminantAnalysis,3,2
dataverse,python,tensorflow,keras,3,2
dataverse,stata,mundlak,mundlak,3,2
dataverse,r,xml2,read_xml,3,2
dataverse,r,xml2,xml_text,3,2
dataverse,r,xml2,xml_find_all,3,2
dataverse,r,scales,pvalue,3,2
dataverse,python,networkx,density,3,2
dataverse,r,tm,removeWords,3,2
dataverse,stata,findname,findname,3,2
dataverse,python,h2o,H2ORandomForestEstimator,3,2
dataverse,python,h2o,H2OGeneralizedLinearEstimator,3,2
dataverse,python,numpy,random.SeedSequence,3,2
dataverse,python,pystata,stata,3,2
dataverse,python,data-processing,DataProcessor,3,2
dataverse,python,tensorflow,linalg.pinv,3,2
dataverse,r,geobr,read_census_tract,3,2
dataverse,r,ggnewscale,new_scale,3,2
dataverse,python,spacy,require_gpu,3,2
dataverse,r,stringi,stri_count_words,3,2
dataverse,r,ggtext,geom_richtext,3,2
dataverse,r,spdep,Rotation,3,2
dataverse,python,tensorflow,nn.softmax_cross_entropy_with_logits,3,2
dataverse,r,AER,tobit,3,2
dataverse,r,Zelig,from_zelig_model,3,2
dataverse,r,academictwitteR,bind_tweets,3,2
dataverse,r,rstan,check_hmc_diagnostics,3,2
dataverse,r,rstan,sampling,3,2
dataverse,python,hdbscan,HDBSCAN,3,2
dataverse,r,stm,calcfrex,3,2
dataverse,python,statsmodels,IV2SLS,3,2
dataverse,python,numba,types,3,2
dataverse,r,RcppParallel,defaultNumThreads,3,2
dataverse,r,librarian,shelf,3,2
dataverse,python,peft,TaskType,3,2
dataverse,python,peft,PeftConfig,3,2
dataverse,python,gensim,KeyedVectors,3,2
dataverse,python,tensorflow,data.Dataset.from_tensor_slices,3,2
dataverse,python,tensorflow,nn.sigmoid,3,2
dataverse,python,tensorflow,gfile.DeleteRecursively,3,2
dataverse,r,WeightIt,weightit,3,2
dataverse,r,webshot,webshot,3,2
dataverse,python,linearmodels,compare,3,2
dataverse,python,huggingface-hub,snapshot_download,3,2
dataverse,python,keras,np_utils,3,2
dataverse,r,tidylog,inner_join,3,2
dataverse,stata,leftalign,leftalign,3,2
dataverse,r,Rcpp,compileAttributes,3,2
dataverse,python,anthropic,Anthropic,3,2
dataverse,python,tiktoken,encoding_for_model,3,2
dataverse,python,tensorflow,keras.layers.Flatten,3,2
dataverse,r,did,aggte,3,2
dataverse,python,torch,cosine_similarity,3,2
dataverse,python,dill,dumps,3,2
dataverse,r,raster,ncell,3,2
dataverse,r,dplyr,is_grouped_df,3,2
dataverse,r,btergm,btergm,3,2
dataverse,r,purrr,discard,3,2
dataverse,stata,reshape8,reshape8,3,2
dataverse,r,purrr,pmap_dfr,3,2
zenodo,python,scipy,cho_factor,2,2
zenodo,python,plotly,Figure,2,2
zenodo,python,fredapi,Fred,2,2
zenodo,python,numpy,true_divide,2,2
zenodo,r,rlang,quos,2,2
zenodo,r,haven,zap_labels,2,2
zenodo,r,psych,describe,2,2
zenodo,python,matplotlib,ScalarMappable,2,2
zenodo,python,rpy2,robjects,2,2
zenodo,python,rpy2,pandas2ri,2,2
zenodo,python,scipy,gammaln,2,2
zenodo,python,nltk,wordpunct_tokenize,2,2
zenodo,python,numba,register_jitable,2,2
zenodo,python,numba,int32,2,2
zenodo,python,numba,boolean,2,2
zenodo,python,numpy,pad,2,2
zenodo,python,joblib,cpu_count,2,2
zenodo,python,scipy,optimize.Bounds,2,2
zenodo,r,lfe,getfe,2,2
zenodo,python,scipy,cauchy,2,2
zenodo,python,scikit-learn,PolynomialFeatures,2,2
zenodo,python,scipy,lfilter,2,2
zenodo,python,scipy,toeplitz,2,2
zenodo,python,numpy,fftn,2,2
zenodo,python,numba,vectorize,2,2
zenodo,stata,ietoolkit,ieboilstart,2,2
zenodo,python,jax,hessian,2,2
zenodo,python,joblib,parallel_backend,2,2
zenodo,stata,nrow,nrow,2,2
zenodo,python,dask,Client,2,2
zenodo,stata,adolist,adolist,2,2
zenodo,stata,hhi,hhi,2,2
zenodo,stata,txttool,txttool,2,2
zenodo,python,scipy,ndimage,2,2
zenodo,python,nlopt,opt,2,2
zenodo,python,statsmodels,OLSResults,2,2
zenodo,python,seaborn,scatterplot,2,2
zenodo,python,setuptools,get_distribution,2,2
zenodo,python,pandas,read_fwf,2,2
zenodo,python,statsmodels,IV2SLS,2,2
zenodo,python,jax,segment_max,2,2
zenodo,python,scikit-learn,r2_score,2,2
zenodo,python,scipy,stats.norm.sf,2,2
zenodo,python,jax,diag,2,2
zenodo,python,jax,copy,2,2
zenodo,python,scikit-learn,mean_squared_error,2,2
zenodo,python,ipython,InteractiveShell,2,2
zenodo,python,docutils,Reporter,2,2
zenodo,python,docutils,Parser,2,2
zenodo,python,docutils,frontend,2,2
zenodo,python,docutils,nodes,2,2
zenodo,python,test,patch,2,2
zenodo,python,test,change_cwd,2,2
zenodo,python,test,requires_zlib,2,2
zenodo,python,test,assert_python_ok,2,2
zenodo,python,test,threading_helper,2,2
zenodo,python,test,is_emscripten,2,2
zenodo,python,test,unlink,2,2
zenodo,python,test,unix_shell,2,2
zenodo,python,test,swap_item,2,2
zenodo,python,test,EnvironmentVarGuard,2,2
zenodo,python,test,MISSING_C_DOCSTRINGS,2,2
zenodo,python,test,captured_output,2,2
zenodo,python,test,ResourceDenied,2,2
zenodo,python,pgen2,grammar,2,2
zenodo,python,pgen2,token,2,2
zenodo,python,test,import_module,2,2
zenodo,python,test,make_legacy_pyc,2,2
zenodo,python,test,warnings_helper,2,2
zenodo,python,java,Exception,2,2
zenodo,python,pip,main,2,2
zenodo,python,ipython,get_ipython,2,2
zenodo,python,matplotlib,colors,2,2
zenodo,r,sf,st_centroid,2,2
zenodo,python,xgboost,XGBClassifier,2,2
zenodo,stata,fastcd,c,2,2
zenodo,python,rpy2,importr,2,2
zenodo,python,matplotlib,colors.LinearSegmentedColormap.from_list,2,2
zenodo,python,scikit-learn,LogisticRegressionCV,2,2
zenodo,python,vaderSentiment,SentimentIntensityAnalyzer,2,2
zenodo,python,utils,forward_step_1d,2,2
zenodo,python,rasterio,rasterize,2,2
zenodo,r,sf,st_intersection,2,2
zenodo,r,sf,st_touches,2,2
zenodo,python,wrds,Connection,2,2
zenodo,python,hypergrad,AdamHD,2,2
zenodo,r,Matrix,colSums,2,2
zenodo,python,scikit-learn,TSNE,2,2
zenodo,python,torch,cuda.manual_seed_all,2,2
zenodo,python,pandas,read_json,2,2
zenodo,python,gensim,LdaModel,2,2
zenodo,python,scipy,solve_ivp,2,2
zenodo,r,RSQLite,SQLite,2,2
zenodo,python,pytrends,TrendReq,2,2
zenodo,python,tensorflow,config.experimental.set_memory_growth,2,2
zenodo,python,Cartopy,add_cyclic_point,2,2
zenodo,python,pandas,io.stata.StataReader,2,2
zenodo,python,matplotlib,to_rgb,2,2
zenodo,python,scikit-learn,make_scorer,2,2
zenodo,r,data.table,year,2,2
zenodo,python,waflib,c_aliases,2,2
zenodo,python,waflib,c_osx,2,2
zenodo,python,waflib,c_tests,2,2
zenodo,python,waflib,d_scan,2,2
zenodo,python,waflib,d_config,2,2
zenodo,python,waflib,tex,2,2
zenodo,python,waflib,threading,2,2
zenodo,python,Pygments,formatters,2,2
zenodo,python,Pygments,lexers,2,2
zenodo,python,Pygments,lexers.guess_lexer_for_filename,2,2
zenodo,python,Pygments,highlight,2,2
zenodo,python,waflib,cs,2,2
zenodo,python,waflib,msvc,2,2
zenodo,python,waflib,def_attrs,2,2
zenodo,python,waflib,pgicc,2,2
zenodo,python,waflib,python,2,2
zenodo,python,waflib,CleanContext,2,2
zenodo,python,waflib,InstallContext,2,2
zenodo,python,waflib,UninstallContext,2,2
zenodo,python,waflib,ConfigurationContext,2,2
zenodo,python,waflib,javaw,2,2
zenodo,python,Sphinx,Sphinx,2,2
zenodo,python,waflib,Logs.warn,2,2
zenodo,python,waflib,Utils.md5,2,2
zenodo,python,waflib,TaskGen.feature,2,2
zenodo,python,waflib,TaskGen.before_method,2,2
zenodo,python,waflib,Parallel,2,2
zenodo,python,waflib,STDOUT,2,2
zenodo,python,waflib,WafError,2,2
zenodo,python,waflib,cprogram,2,2
zenodo,python,waflib,SKIP_ME,2,2
zenodo,python,waflib,RUN_ME,2,2
zenodo,python,waflib,CANCEL_ME,2,2
zenodo,python,waflib,ASK_LATER,2,2
zenodo,python,waflib,SKIPPED,2,2
zenodo,python,waflib,MISSING,2,2
zenodo,python,waflib,md5_tstamp,2,2
zenodo,python,waflib,winreg,2,2
zenodo,python,numpy,dtype,2,2
zenodo,python,ipywidgets,interact,2,2
zenodo,python,scipy,sqrtm,2,2
zenodo,python,pyarrow,write_table,2,2
zenodo,python,pyarrow,Table.from_pandas,2,2
zenodo,r,units,drop_units,2,2
zenodo,r,terra,crop,2,2
zenodo,r,numDeriv,jacobian,2,2
zenodo,r,ggplot2,scale_alpha_manual,2,2
zenodo,python,scipy,gaussian_kde,2,2
zenodo,r,ivreg,ivreg,2,2
zenodo,r,stringr,str_match,2,2
zenodo,r,dplyr,any_of,2,2
zenodo,r,httr,GET,2,2
zenodo,python,matplotlib,ion,2,2
zenodo,r,matrixStats,rowMins,2,2
zenodo,python,jax,linspace,2,2
zenodo,r,sp,spTransform,2,2
zenodo,python,torch,Sequential,2,2
zenodo,python,scikit-learn,cross_validate,2,2
zenodo,r,nleqslv,nleqslv,2,2
zenodo,python,sobol,i4_sobol_generate,2,2
zenodo,python,numpy,multiply.outer,2,2
zenodo,python,numpy,subtract.outer,2,2
zenodo,python,scikit-learn,LinearSVC,2,2
zenodo,python,numpy,float64,2,2
zenodo,python,torch,randperm,2,2
zenodo,python,matplotlib,MaxNLocator,2,2
zenodo,python,openai,OpenAI,2,2
zenodo,stata,wtp,wtp,2,2
zenodo,python,nltk,trigrams,2,2
zenodo,python,numpy,NaN,2,2
zenodo,python,gurobipy,GRB,2,2
zenodo,python,numpy,setdiff1d,2,2
zenodo,r,knitr,is_html_output,2,2
zenodo,stata,radar,radar,2,2
zenodo,python,gensim,models.ldamulticore.LdaModel,2,2
zenodo,python,scipy,integrate.solve_ivp,2,2
zenodo,python,pandas,datetime,2,2
zenodo,r,lubridate,parse_date_time,2,2
zenodo,r,irr,kappam.fleiss,2,2
dataverse,python,scipy,percentileofscore,2,2
dataverse,python,scipy,t.ppf,2,2
dataverse,r,RColorBrewer,display.brewer.all,2,2
dataverse,python,networkx,set_edge_attributes,2,2
dataverse,stata,did_multiplegt_stat,did_multiplegt_stat,2,2
dataverse,r,fs,dir_delete,2,2
dataverse,r,Amelia,amelia,2,2
dataverse,stata,byhist,byhist,2,2
dataverse,r,coda,mcmc,2,2
dataverse,python,scikit-learn,metrics.confusion_matrix,2,2
dataverse,r,dplyr,cur_group_id,2,2
dataverse,r,ggplot2,scale_fill_viridis_d,2,2
dataverse,r,targets,tar_make,2,2
dataverse,stata,randtreat,randtreat,2,2
dataverse,python,matplotlib,gridspec,2,2
dataverse,python,plotly,Layout,2,2
dataverse,r,gtable,gtable_add_cols,2,2
dataverse,r,xlsx,read.xlsx,2,2
dataverse,r,sp,spTransform,2,2
dataverse,r,quarto,quarto_render,2,2
dataverse,python,cvxpy,Problem,2,2
dataverse,python,cvxpy,Minimize,2,2
dataverse,python,jax,sort,2,2
dataverse,python,matplotlib,autoscale,2,2
dataverse,python,sphinx-rtd-theme,get_html_theme_path,2,2
dataverse,python,rasterio,open,2,2
dataverse,r,hrbrthemes,scale_color_ipsum,2,2
dataverse,stata,palettes,symbolpalette,2,2
dataverse,python,networkx,community,2,2
dataverse,r,rstanarm,stan_glm,2,2
dataverse,r,loo,loo,2,2
dataverse,r,scales,oob_keep,2,2
dataverse,python,scikit-learn,unique_labels,2,2
dataverse,r,purrr,quietly,2,2
dataverse,r,plyr,each,2,2
dataverse,r,ggraph,create_layout,2,2
dataverse,r,quanteda,tokens_ngrams,2,2
dataverse,r,Matrix,Matrix,2,2
dataverse,python,scipy,rv_continuous,2,2
dataverse,r,ggplot2,geom_segment,2,2
dataverse,r,stringi,stri_trans_totitle,2,2
dataverse,r,network,network.initialize,2,2
dataverse,r,network,get.edges,2,2
dataverse,r,network,set.edge.attribute,2,2
dataverse,r,UpSetR,upset,2,2
dataverse,r,parzer,parse_lat,2,2
dataverse,r,parzer,parse_lon,2,2
dataverse,python,transformers,AutoConfig,2,2
dataverse,python,layoutparser,TesseractAgent,2,2
dataverse,python,torch,ConcatDataset,2,2
dataverse,python,torch,cuda.reset_peak_memory_stats,2,2
dataverse,python,torch,DataParallel,2,2
dataverse,python,torch,pow,2,2
dataverse,python,torch,set_printoptions,2,2
dataverse,python,imblearn,RandomUnderSampler,2,2
dataverse,r,igraph,distances,2,2
dataverse,r,sna,evcent,2,2
dataverse,python,test,MISSING_C_DOCSTRINGS,2,2
dataverse,python,test,captured_output,2,2
dataverse,python,test,ResourceDenied,2,2
dataverse,python,pgen2,grammar,2,2
dataverse,python,pgen2,token,2,2
dataverse,python,java,System,2,2
dataverse,python,test,import_module,2,2
dataverse,python,test,make_legacy_pyc,2,2
dataverse,python,test,check_syntax_error,2,2
dataverse,python,test,warnings_helper,2,2
dataverse,python,pip,main,2,2
dataverse,r,Hmisc,rMultinom,2,2
dataverse,r,dummies,dummy.data.frame,2,2
dataverse,r,TruncatedNormal,norminvp,2,2
dataverse,r,scales,log_breaks,2,2
dataverse,python,lightgbm,LGBMRegressor,2,2
dataverse,python,otree,execute_from_command_line,2,2
dataverse,python,HTMLParser,HTMLParser,2,2
dataverse,python,scikit-learn,lasso_path,2,2
dataverse,python,autograd,ravel,2,2
dataverse,python,autograd,grad,2,2
dataverse,python,matplotlib,HandlerTuple,2,2
dataverse,python,sequence-jacobian,misc.setmin,2,2
dataverse,python,scipy,trapz,2,2
dataverse,python,sequence-jacobian,interpolate_coord,2,2
dataverse,python,sequence-jacobian,interpolate_y,2,2
dataverse,stata,tab3way,tab3way,2,2
dataverse,python,krippendorff,alpha,2,2
dataverse,python,torch,pack_padded_sequence,2,2
dataverse,python,torch,Embedding,2,2
dataverse,python,torch,GRU,2,2
dataverse,r,tinytex,xelatex,2,2
dataverse,r,lqmm,make.positive.definite,2,2
dataverse,python,altair,Y2,2,2
dataverse,r,lmtest,bptest,2,2
dataverse,r,randomForest,randomForest,2,2
dataverse,python,flair,Sentence,2,2
dataverse,python,flair,SequenceTagger,2,2
dataverse,python,ipywidgets,HBox,2,2
dataverse,python,ipywidgets,HTML,2,2
dataverse,r,patchwork,wrap_elements,2,2
dataverse,r,showtext,showtext_auto,2,2
dataverse,python,scikit-learn,HuberRegressor,2,2
dataverse,stata,epiweek,epiweek,2,2
dataverse,python,statsmodels,ECDF,2,2
dataverse,r,stringdist,amatch,2,2
dataverse,r,magrittr,`%$%`,2,2
dataverse,r,RCurl,url.exists,2,2
dataverse,r,tm,weightTfIdf,2,2
dataverse,r,readr,write_excel_csv,2,2
dataverse,python,pyreadr,write_rds,2,2
dataverse,python,torch,random_split,2,2
dataverse,r,tidycensus,census_api_key,2,2
dataverse,python,nltk,Text,2,2
dataverse,python,matplotlib,patches.Ellipse,2,2
dataverse,r,Synth,dataprep,2,2
dataverse,r,scales,pseudo_log_trans,2,2
dataverse,r,DiagrammeR,grViz,2,2
dataverse,python,plotly,iplot,2,2
dataverse,r,mefa,rep.data.frame,2,2
dataverse,python,matplotlib,FancyArrow,2,2
dataverse,r,pander,pander,2,2
dataverse,python,matplotlib,font_manager.FontProperties,2,2
dataverse,r,pak,pkg_install,2,2
dataverse,python,pyarrow,field,2,2
dataverse,python,pyarrow,schema,2,2
dataverse,python,pyarrow,write_table,2,2
dataverse,r,fs,dir_exists,2,2
dataverse,r,loo,loo_compare,2,2
dataverse,r,tidyselect,starts_with,2,2
dataverse,r,jsonlite,write_json,2,2
dataverse,r,rlang,is_scalar_integerish,2,2
dataverse,r,lubridate,days_in_month,2,2
dataverse,stata,palettes,linepalette,2,2
dataverse,python,matplotlib,rgb2hex,2,2
dataverse,python,numpy,partition,2,2
dataverse,python,scipy,vq,2,2
dataverse,python,networkx,shortest_path_length,2,2
dataverse,r,lubridate,yday,2,2
dataverse,r,terra,aggregate,2,2
dataverse,r,scales,breaks_extended,2,2
dataverse,r,raster,disaggregate,2,2
dataverse,r,quanteda,tokens_lookup,2,2
dataverse,r,systemfonts,system_fonts,2,2
dataverse,python,scikit-learn,IsolationForest,2,2
dataverse,python,matplotlib,FuncAnimation,2,2
dataverse,python,scikit-learn,OrdinalEncoder,2,2
dataverse,python,k-means-constrained,KMeansConstrained,2,2
dataverse,stata,doseresponse,gpscore,2,2
dataverse,python,plotly,imshow,2,2
dataverse,r,igraph,assortativity_degree,2,2
dataverse,python,pyspark,StructField,2,2
dataverse,python,pyspark,DoubleType,2,2
dataverse,r,sp,SpatialPolygonsDataFrame,2,2
dataverse,python,scipy,stats.norm.logsf,2,2
dataverse,python,util,P_star_Symbol,2,2
dataverse,r,fixest,pvalue,2,2
dataverse,r,scales,oob_squish,2,2
dataverse,r,geojsonsf,geojson_sf,2,2
dataverse,r,RStata,stata,2,2
dataverse,python,numpy,polynomial.hermite.hermgauss,2,2
dataverse,python,scipy,solve_discrete_lyapunov,2,2
dataverse,python,mpmath,mp,2,2
dataverse,python,scipy,reverse_cuthill_mckee,2,2
dataverse,python,chardet,detect,2,2
dataverse,python,click,group,2,2
dataverse,python,matplotlib,ConnectionPatch,2,2
dataverse,python,matplotlib,ticker.ScalarFormatter,2,2
dataverse,python,matplotlib,WeekdayLocator,2,2
dataverse,python,matplotlib,get_sample_data,2,2
dataverse,python,matplotlib,AnnotationBbox,2,2
dataverse,python,matplotlib,OffsetImage,2,2
dataverse,python,matplotlib,IndexLocator,2,2
dataverse,python,numpy,trim_zeros,2,2
dataverse,python,numpy,join_by,2,2
dataverse,python,numpy,real_if_close,2,2
dataverse,python,SQLAlchemy,Text,2,2
dataverse,python,pandas,reset_option,2,2
dataverse,python,SQLAlchemy,text,2,2
dataverse,python,matplotlib,colors.ListedColormap,2,2
dataverse,python,scikit-learn,binarize,2,2
dataverse,python,scipy,kmeans,2,2
dataverse,python,scipy,fftpack,2,2
dataverse,python,scipy,PchipInterpolator,2,2
dataverse,python,scipy,savemat,2,2
dataverse,python,scipy,mmwrite,2,2
dataverse,python,scipy,filtfilt,2,2
dataverse,python,scipy,dijkstra,2,2
dataverse,python,scipy,linalg.eigvalsh,2,2
dataverse,python,scipy,linalg.toeplitz,2,2
