source,language,n_deposits
dataverse,julia,58
dataverse,mata,68
dataverse,matlab,838
dataverse,notebook,300
dataverse,python,536
dataverse,r,5774
dataverse,rmarkdown,703
dataverse,sas,188
dataverse,shell,337
dataverse,spss,104
dataverse,sql,18
dataverse,stata,7805
zenodo,julia,58
zenodo,mata,70
zenodo,matlab,562
zenodo,notebook,89
zenodo,python,237
zenodo,r,420
zenodo,rmarkdown,98
zenodo,sas,48
zenodo,shell,190
zenodo,spss,4
zenodo,sql,9
zenodo,stata,1149
