ecosystem,package,version,version_source,n_deposits
cran,FNN,1.1.3,renv_lock,1
cran,FNN,1.1.3.1,description,1
cran,FNN,1.1.3.1,renv_lock,1
cran,FRD,1.0,description,1
cran,FactoClass,1.2.8,renv_lock,1
cran,FactoMineR,2.10,renv_lock,1
cran,FactoMineR,2.10,description,1
cran,FactoMineR,2.12,renv_lock,1
cran,Formula,1.2-5,renv_lock,82
cran,Formula,1.2-4,renv_lock,15
cran,Formula,1.2-5,description,14
cran,Formula,1.2-4,description,9
cran,Formula,1.2-3,description,4
cran,Formula,1.2-3,renv_lock,2
cran,Formula,1.2-6,renv_lock,1
cran,Formula,1.2-4,install,1
cran,Formula,1.2-5,install,1
cran,GGUM,0.4-2,description,1
cran,GGally,2.2.1,renv_lock,3
cran,GGally,2.1.2,renv_lock,2
cran,GGally,1.4.0,description,1
cran,GGally,1.4.0,renv_lock,1
cran,GGally,2.2.1,description,1
cran,GGally,2.1.0,description,1
cran,GGally,2.1.1,install,1
cran,GGally,2.4.0,renv_lock,1
cran,GPArotation,2025.3-1,renv_lock,4
cran,GPArotation,2024.3-1,renv_lock,1
cran,GPArotation,2014.11-1,renv_lock,1
cran,GPfit,1.0-8,description,2
cran,GPfit,1.0-8,renv_lock,2
cran,GPfit,1.0-9,description,1
cran,GPfit,1.0-9,renv_lock,1
cran,GVEC,1.0,description,1
cran,GenSA,1.1.14.1,description,1
cran,GenSA,1.1.14.1,renv_lock,1
cran,GenericML,0.2.2,renv_lock,1
cran,GenericML,0.2.2,description,1
cran,HDInterval,0.2.2,renv_lock,1
cran,HDInterval,0.2.4,renv_lock,1
cran,Hmisc,5.2-5,renv_lock,3
cran,Hmisc,5.2-2,renv_lock,3
cran,Hmisc,4.7-0,renv_lock,2
cran,Hmisc,4.4-1,renv_lock,2
cran,Hmisc,5.1-0,renv_lock,2
cran,Hmisc,5.1-3,renv_lock,2
cran,Hmisc,5.2-3,renv_lock,2
cran,Hmisc,5.1-1,renv_lock,2
cran,Hmisc,5.1-1,description,2
cran,Hmisc,5.1-1,install,1
cran,Hmisc,4.8-0,renv_lock,1
cran,Hmisc,4.8-0,description,1
cran,Hmisc,4.6-0,description,1
cran,Hmisc,4.1-1,description,1
cran,Hmisc,5.1-0,description,1
cran,Hmisc,4.4-2,description,1
cran,Hmisc,5.1-3,description,1
cran,Hmisc,4.5-0,description,1
cran,Hmisc,5.2-4,renv_lock,1
cran,Hmisc,5.2-0,renv_lock,1
cran,Hmisc,5.1-2,renv_lock,1
cran,Hmisc,5.0-1,renv_lock,1
cran,HonestDiD,0.2.6,description,3
cran,HonestDiD,0.2.6,renv_lock,1
cran,HonestDiDFEct,0.2.6,description,1
cran,Hotelling,1.0-8,renv_lock,1
cran,Hotelling,1.0-8,description,1
cran,ICC,2.4.0,renv_lock,1
cran,IRTM,0.0.0.9000,description,1
cran,ISOcodes,2024.02.12,renv_lock,5
cran,ISOcodes,2021.02.24,renv_lock,2
cran,ISOcodes,2024.02.12,description,1
cran,ISOcodes,2022.09.29,renv_lock,1
cran,ISOweek,0.6-2,renv_lock,1
cran,ISwR,2.0-10,description,1
cran,InformalRedistributionThroughWork,1.0,description,1
cran,InteractionPoweR,0.2.1,renv_lock,1
cran,JuliaConnectoR,1.1.4,renv_lock,1
cran,JuliaConnectoR,1.1.1,renv_lock,1
cran,KRMSBVAR,0.1,description,1
cran,KernSmooth,2.23-26,renv_lock,18
cran,KernSmooth,2.23-20,renv_lock,14
cran,KernSmooth,2.23-24,renv_lock,10
cran,KernSmooth,2.23-22,renv_lock,8
cran,KernSmooth,2.23-20,description,2
cran,KernSmooth,2.23-26,description,1
cran,KernSmooth,2.23-16,renv_lock,1
cran,KernSmooth,2.23-15,renv_lock,1
cran,KernSmooth,2.23-20,install,1
cran,Kmisc,0.2.0,renv_lock,4
cran,Lahman,14.0-0,description,1
cran,LandUseR,0.0.0.9000,description,1
cran,LearnBayes,2.15.1,description,3
cran,LearnBayes,2.15.1,renv_lock,1
cran,Lmoments,1.3-1,renv_lock,4
cran,Lmoments,1.3-2,renv_lock,2
cran,MARSS,3.11.9,install,1
cran,MASS,7.3-65,renv_lock,29
cran,MASS,7.3-60.2,renv_lock,17
cran,MASS,7.3-60,renv_lock,16
cran,MASS,7.3-54,renv_lock,10
cran,MASS,7.3-64,renv_lock,9
cran,MASS,7.3-58.1,renv_lock,7
cran,MASS,7.3-61,renv_lock,7
cran,MASS,7.3-60.0.1,renv_lock,6
cran,MASS,7.3-58.4,renv_lock,3
cran,MASS,7.3-60,description,3
cran,MASS,7.3-58.1,description,3
cran,MASS,7.3-55,renv_lock,3
cran,MASS,7.3-57,renv_lock,3
cran,MASS,7.3-58,renv_lock,2
cran,MASS,7.3-51.4,renv_lock,2
cran,MASS,7.3-58.3,renv_lock,2
cran,MASS,7.3-65,description,2
cran,MASS,7.3-50,description,2
cran,MASS,7.3-51.6,renv_lock,2
cran,MASS,7.3-56,renv_lock,1
cran,MASS,7.3-58.1,install,1
cran,MASS,7.3-54,description,1
cran,MASS,7.3-53.1,description,1
cran,MASS,7.3-39,description,1
cran,MASS,7.3-51.5,renv_lock,1
cran,MASS,7.3-61,install,1
cran,MASS,7.3-53,renv_lock,1
cran,MASS,7.3-45,install,1
cran,MASS,7.3-59,renv_lock,1
cran,MASS,7.3-60.0.1,description,1
cran,MASS,7.3-58.4,description,1
cran,MASS,7.3-58.3,description,1
cran,MASS,7.3-51,description,1
cran,MASS,7.3-58.2,renv_lock,1
cran,MASS,7.3-56,description,1
cran,MASS,7.3-58.2,description,1
cran,MCMCpack,1.7-1,renv_lock,1
cran,MCMCpack,1.4-0,description,1
cran,MCPanel,0.0,renv_lock,1
cran,MDEI,1.0,description,1
cran,MLmetrics,1.1.3,description,1
cran,MLmetrics,1.1.3,renv_lock,1
cran,MLmetrics,1.1.1,renv_lock,1
cran,MLmetrics,1.1.1,description,1
cran,MQX,1.0,description,1
cran,MatchIt,4.5.5,renv_lock,3
cran,MatchIt,4.7.1,renv_lock,3
cran,MatchIt,4.5.4,renv_lock,1
cran,MatchIt,4.7.0,description,1
cran,MatchIt,4.7.2,renv_lock,1
cran,MatchIt,4.1.0,description,1
cran,Matching,4.9-7,description,2
cran,Matching,4.9-9,renv_lock,2
cran,Matching,4.9-9,description,1
cran,Matching,4.10-14,install,1
cran,Matching,4.10-15,renv_lock,1
cran,Matrix,1.7-0,renv_lock,17
cran,Matrix,1.7-4,renv_lock,14
cran,Matrix,1.7-3,renv_lock,12
cran,Matrix,1.3-4,renv_lock,9
cran,Matrix,1.7-1,renv_lock,9
cran,Matrix,1.6-1.1,renv_lock,8
cran,Matrix,1.6-5,renv_lock,8
cran,Matrix,1.5-1,renv_lock,7
cran,Matrix,1.7-2,renv_lock,6
cran,Matrix,1.6-0,renv_lock,5
cran,Matrix,1.5-4,renv_lock,4
cran,Matrix,1.6-1.1,description,3
cran,Matrix,1.6-1,renv_lock,3
cran,Matrix,1.5-4.1,renv_lock,3
cran,Matrix,1.3-3,renv_lock,3
cran,Matrix,1.2-18,renv_lock,3
cran,Matrix,1.6-5,description,3
cran,Matrix,1.4-1,renv_lock,2
cran,Matrix,1.6-0,description,2
cran,Matrix,1.2-17,renv_lock,2
cran,Matrix,1.7-5,renv_lock,2
cran,Matrix,1.4-0,renv_lock,2
cran,Matrix,1.6-5,install,2
cran,Matrix,1.6-4,description,2
cran,Matrix,1.2-14,description,2
cran,Matrix,1.6-1.1,install,1
cran,Matrix,1.7-4,description,1
cran,Matrix,1.3.4,install,1
cran,Matrix,1.3-2,renv_lock,1
cran,Matrix,1.6-3,renv_lock,1
cran,Matrix,1.7-4,install,1
cran,Matrix,1.3-3,description,1
cran,Matrix,1.3-4,description,1
cran,Matrix,1.5-1,install,1
cran,Matrix,1.2-18,description,1
cran,Matrix,1.5-4,description,1
cran,MatrixExtra,0.1.15,renv_lock,2
cran,MatrixExtra,0.1.15,description,1
cran,MatrixExtra,0.1.9-1,renv_lock,1
cran,MatrixModels,0.5-4,renv_lock,17
cran,MatrixModels,0.5-3,renv_lock,12
cran,MatrixModels,0.5-1,renv_lock,6
cran,MatrixModels,0.4-1,description,5
