package,language,ecosystem,n_deposits,n_files,n_mentions,first_year,last_year,n_deposits_at_risk,share_of_deposits
fuzzydid,stata,ssc,1,1,2,,,1075,0.0009
mediation,stata,ssc,1,2,8,,,1075,0.0009
spgen,stata,ssc,1,1,4,,,1075,0.0009
clean_name,stata,ssc,1,3,3,,,1075,0.0009
firstpass,python,pypi,1,2,4,,,224,0.0045
nytimes,stata,ssc,1,1,1,,,1075,0.0009
humaniformat,r,cran,1,1,1,,,392,0.0026
corextopic,python,pypi,1,1,1,,,224,0.0045
kmatch,stata,ssc,1,5,10,,,1075,0.0009
RDHonest,r,cran,1,7,24,,,392,0.0026
optrdd,r,cran_archive,1,3,8,,,392,0.0026
pkgdepends,r,cran,1,1,1,,,392,0.0026
R6,r,cran,1,11,16,,,392,0.0026
pkgconfig,r,cran,1,9,23,,,392,0.0026
RMySQL,r,cran,1,1,1,,,392,0.0026
getopt,r,cran,1,3,3,,,392,0.0026
pbkrtest,r,cran,1,7,16,,,392,0.0026
coxme,r,cran,1,1,1,,,392,0.0026
farver,r,cran,1,7,17,,,392,0.0026
fansi,r,cran,1,21,141,,,392,0.0026
unitizer,r,cran,1,5,5,,,392,0.0026
scs,python,pypi,1,5,5,,,224,0.0045
lintr,r,cran,1,1,4,,,392,0.0026
evaluate,r,cran,1,1,3,,,392,0.0026
pkgload,r,cran,1,3,5,,,392,0.0026
brio,r,cran,1,1,2,,,392,0.0026
Rmpi,r,cran,1,5,32,,,392,0.0026
rlecuyer,r,cran,1,1,7,,,392,0.0026
SASmixed,r,cran,1,1,1,,,392,0.0026
shape,r,cran,1,1,1,,,392,0.0026
qcml,python,pypi,1,1,1,,,224,0.0045
ellipsis,r,cran,1,2,3,,,392,0.0026
modeltests,r,cran,1,97,119,,,392,0.0026
epiR,r,cran,1,2,2,,,392,0.0026
btergm,r,cran,1,2,2,,,392,0.0026
cmprsk,r,cran,1,1,2,,,392,0.0026
drc,r,cran,1,1,1,,,392,0.0026
betareg,r,cran,1,1,1,,,392,0.0026
lmodel2,r,cran,1,1,1,,,392,0.0026
binGroup,r,cran,1,1,1,,,392,0.0026
mclust,r,cran,1,1,1,,,392,0.0026
joineRML,r,cran,1,1,1,,,392,0.0026
biglm,r,cran,1,1,1,,,392,0.0026
lm.beta,r,cran,1,1,3,,,392,0.0026
poLCA,r,cran,1,1,1,,,392,0.0026
lsmeans,r,cran,1,1,3,,,392,0.0026
Kendall,r,cran,1,1,1,,,392,0.0026
orcutt,r,cran_archive,1,1,1,,,392,0.0026
muhaz,r,cran,1,1,1,,,392,0.0026
AUC,r,cran,1,1,2,,,392,0.0026
robust,r,cran,1,1,1,,,392,0.0026
irlba,r,cran,1,1,1,,,392,0.0026
BrailleR,r,cran_archive,1,1,1,,,392,0.0026
isoband,r,cran,1,2,3,,,392,0.0026
ragg,r,cran,1,1,4,,,392,0.0026
gamm4,r,cran,1,3,4,,,392,0.0026
mlmRev,r,cran,1,7,14,,,392,0.0026
MEMSS,r,cran,1,2,4,,,392,0.0026
agridat,r,cran,1,1,1,,,392,0.0026
merDeriv,r,cran,1,2,4,,,392,0.0026
rr2,r,cran,1,1,1,,,392,0.0026
semEff,r,cran,1,1,1,,,392,0.0026
interp,r,cran,1,4,22,,,392,0.0026
conquer,r,cran,1,1,3,,,392,0.0026
bit,r,cran,1,7,45,,,392,0.0026
shinyjs,r,cran,1,3,3,,,392,0.0026
jpeg,r,cran,1,1,1,,,392,0.0026
winch,r,cran,1,1,1,,,392,0.0026
pak,r,cran,1,1,1,,,392,0.0026
debugme,r,cran,1,1,1,,,392,0.0026
git2r,r,cran,1,3,32,,,392,0.0026
pkgbuild,r,cran,1,2,4,,,392,0.0026
mockery,r,cran,1,28,165,,,392,0.0026
pingr,r,cran,1,1,1,,,392,0.0026
webfakes,r,cran,1,1,2,,,392,0.0026
simplegraph,r,cran,1,2,7,,,392,0.0026
falsy,r,cran_archive,1,5,15,,,392,0.0026
BiocManager,r,cran,1,1,1,,,392,0.0026
MeasurementError.cor,r,bioconductor,1,1,4,,,392,0.0026
disposables,r,cran,1,4,15,,,392,0.0026
Rcplex,r,cran,1,3,5,,,392,0.0026
cccp,r,cran,1,1,10,,,392,0.0026
ElemStatLearn,r,cran_archive,1,1,1,,,392,0.0026
labeling,r,cran,1,1,2,,,392,0.0026
ps,r,cran,1,3,5,,,392,0.0026
asciicast,r,cran,1,1,1,,,392,0.0026
fda,r,cran,1,1,1,,,392,0.0026
sassy,r,cran,1,4,4,,,392,0.0026
robreg,stata,ssc,1,1,6,,,1075,0.0009
NLP,r,cran,1,5,6,,,392,0.0026
fuzzyforest,r,cran,1,7,7,,,392,0.0026
WGCNA,r,cran,1,8,10,,,392,0.0026
MLmetrics,r,cran,1,1,2,,,392,0.0026
pattern,python,pypi,1,77,193,,,224,0.0045
psychTools,r,cran,1,6,7,,,392,0.0026
Rcsdp,r,cran,1,1,2,,,392,0.0026
sem,r,cran,1,2,4,,,392,0.0026
mnormt,r,cran,1,1,1,,,392,0.0026
cleanNLP,r,cran,1,1,6,,,392,0.0026
pkgmaker,r,cran_archive,1,2,8,,,392,0.0026
cellranger,r,cran,1,1,2,,,392,0.0026
DAAG,r,cran,1,3,3,,,392,0.0026
antiword,r,cran,1,1,1,,,392,0.0026
Rpoppler,r,cran,1,1,2,,,392,0.0026
six,python,pypi,1,118,154,,,224,0.0045
text-unidecode,python,pypi,1,1,1,,,224,0.0045
pyparsing,python,pypi,1,1,1,,,224,0.0045
twython,python,pypi,1,3,4,,,224,0.0045
rednose,python,pypi,1,1,1,,,224,0.0045
norm,python,pypi,1,1,1,,,224,0.0045
bllipparser,python,pypi,1,1,2,,,224,0.0045
pygame,python,pypi,1,1,1,,,224,0.0045
libsvm,python,pypi,1,1,1,,,224,0.0045
liblinear,python,pypi,1,1,1,,,224,0.0045
CherryPy,python,pypi,1,38,115,,,224,0.0045
simplejson,python,pypi,1,2,2,,,224,0.0045
thread,python,pypi,1,1,1,,,224,0.0045
mod_python,python,pypi,1,1,2,,,224,0.0045
Routes,python,pypi,1,1,2,,,224,0.0045
memcache,python,pypi,1,1,1,,,224,0.0045
objgraph,python,pypi,1,1,1,,,224,0.0045
xmlrpclib,python,pypi,1,1,1,,,224,0.0045
coverage,python,pypi,1,1,2,,,224,0.0045
configparser,python,pypi,1,1,1,,,224,0.0045
compiler,python,pypi,1,1,1,,,224,0.0045
pyOpenSSL,python,pypi,1,1,2,,,224,0.0045
flup,python,pypi,1,1,3,,,224,0.0045
lzw,python,pypi,1,1,1,,,224,0.0045
pdfparser,python,pypi,1,1,2,,,224,0.0045
layout,python,pypi,1,1,3,,,224,0.0045
cmap,python,pypi,1,1,1,,,224,0.0045
scanner,python,pypi,1,1,1,,,224,0.0045
decoder,python,pypi,1,1,1,,,224,0.0045
image,python,pypi,1,1,1,,,224,0.0045
xtgraph,stata,ssc,1,1,2,,,1075,0.0009
rmatio,r,cran,1,3,3,,,392,0.0026
latentnet,r,cran,1,3,4,,,392,0.0026
Rlab,r,cran,1,1,2,,,392,0.0026
stackreg,stata,ssc,1,2,4,,,1075,0.0009
envir,python,pypi,1,5,5,,,224,0.0045
valuesof,stata,ssc,1,12,69,,,1075,0.0009
resize,stata,ssc,1,1,1,,,1075,0.0009
misc,python,pypi,1,3,4,,,224,0.0045
ee,python,pypi,1,1,1,,,224,0.0045
ranktest,stata,ssc,1,1,2,,,1075,0.0009
config-dir,python,pypi,1,2,2,,,224,0.0045
gridder,python,pypi,1,2,2,,,224,0.0045
shaper,python,pypi,1,1,1,,,224,0.0045
dpplot,stata,ssc,1,2,15,,,1075,0.0009
gridtext,r,cran,1,1,1,,,392,0.0026
splitfngr,r,cran,1,2,3,,,392,0.0026
bitstring,python,pypi,1,1,1,,,224,0.0045
prices,python,pypi,1,1,1,,,224,0.0045
panel,python,pypi,1,1,1,,,224,0.0045
counterfactual,python,pypi,1,1,1,,,224,0.0045
tmaptools,r,cran,1,1,1,,,392,0.0026
est2tex,stata,ssc,1,4,4,,,1075,0.0009
extremes,stata,ssc,1,10,10,,,1075,0.0009
weaver,stata,ssc,1,1,1,,,1075,0.0009
optparse,r,cran,1,5,5,,,392,0.0026
var,python,pypi,1,5,5,,,224,0.0045
rank,python,pypi,1,6,6,,,224,0.0045
toolz,python,pypi,1,1,1,,,224,0.0045
pyreadr,python,pypi,1,1,1,,,224,0.0045
fastgini,stata,ssc,1,1,1,,,1075,0.0009
peacesciencer,r,cran,1,1,1,,,392,0.0026
tabexport,stata,ssc,1,2,2,,,1075,0.0009
flexsurv,r,cran,1,26,28,,,392,0.0026
VineCopula,r,cran,1,18,20,,,392,0.0026
glmmTMB,r,cran,1,4,4,,,392,0.0026
tweedie,r,cran,1,1,1,,,392,0.0026
cplm,r,cran,1,2,2,,,392,0.0026
GGally,r,cran,1,1,1,,,392,0.0026
ggcorrplot,r,cran,1,1,1,,,392,0.0026
nonlinear,python,pypi,1,2,2,,,224,0.0045
tables,python,pypi,1,2,2,,,224,0.0045
exbsample,stata,ssc,1,1,1,,,1075,0.0009
locfit,r,cran,1,1,1,,,392,0.0026
editdistance,python,pypi,1,2,2,,,224,0.0045
scrapeR,r,cran,1,3,3,,,392,0.0026
textir,r,cran,1,1,1,,,392,0.0026
xlsxwriter,python,pypi,1,1,1,,,224,0.0045
matchingR,r,cran,1,3,3,,,392,0.0026
sjmisc,r,cran,1,1,1,,,392,0.0026
modeest,r,cran,1,1,1,,,392,0.0026
runner,r,cran,1,1,1,,,392,0.0026
FSA,r,cran,1,1,1,,,392,0.0026
bspline,stata,ssc,1,1,2,,,1075,0.0009
cleanco,python,pypi,1,4,4,,,224,0.0045
ivhettest,stata,ssc,1,1,2,,,1075,0.0009
xtcsd,stata,ssc,1,1,2,,,1075,0.0009
fonttools,python,pypi,1,4,4,,,224,0.0045
notebook,python,pypi,1,5,5,,,224,0.0045
geomet,python,pypi,1,1,1,,,224,0.0045
jupyter-client,python,pypi,1,3,3,,,224,0.0045
jupyter-contrib-nbextensions,python,pypi,1,1,1,,,224,0.0045
distributed,python,pypi,1,3,3,,,224,0.0045
nbclassic,python,pypi,1,4,4,,,224,0.0045
jupyter-contrib-core,python,pypi,1,1,1,,,224,0.0045
jupyter-server,python,pypi,1,1,1,,,224,0.0045
black,python,pypi,1,1,1,,,224,0.0045
keyring,python,pypi,1,1,1,,,224,0.0045
flake8,python,pypi,1,1,1,,,224,0.0045
jsonschema,python,pypi,1,1,1,,,224,0.0045
jupyter-core,python,pypi,1,5,5,,,224,0.0045
jupyterlab,python,pypi,1,4,4,,,224,0.0045
json5,python,pypi,1,1,1,,,224,0.0045
pycodestyle,python,pypi,1,1,1,,,224,0.0045
websocket,python,pypi,1,1,1,,,224,0.0045
jupyter-nbextensions-configurator,python,pypi,1,1,1,,,224,0.0045
jupyter-console,python,pypi,1,1,1,,,224,0.0045
charset-normalizer,python,pypi,1,1,1,,,224,0.0045
wheel,python,pypi,1,1,1,,,224,0.0045
babel,python,pypi,1,1,1,,,224,0.0045
pyflakes,python,pypi,1,1,1,,,224,0.0045
debugpy,python,pypi,1,1,1,,,224,0.0045
pysource,python,pypi,1,1,1,,,224,0.0045
reindent,python,pypi,1,1,1,,,224,0.0045
fintl,python,pypi,1,1,1,,,224,0.0045
tmvtnorm,r,cran,1,7,14,,,392,0.0026
cipolate,stata,ssc,1,1,6,,,1075,0.0009
SuperLearner,r,cran,1,2,4,,,392,0.0026
drtmle,r,cran,1,2,4,,,392,0.0026
Matching,r,cran,1,2,2,,,392,0.0026
snowfall,r,cran,1,1,1,,,392,0.0026
MultiRNG,r,cran,1,2,2,,,392,0.0026
quantiles,stata,ssc,1,1,4,,,1075,0.0009
definitions,python,pypi,1,43,43,,,224,0.0045
state,python,pypi,1,61,61,,,224,0.0045
graphs,python,pypi,1,10,10,,,224,0.0045
Hydra,python,pypi,1,1,1,,,224,0.0045
omegaconf,python,pypi,1,1,1,,,224,0.0045
globals,python,pypi,1,1,1,,,224,0.0045
horovod,python,pypi,1,2,2,,,224,0.0045
equilibrium,python,pypi,1,1,1,,,224,0.0045
prettytable,python,pypi,1,7,7,,,224,0.0045
randomcoloR,r,cran,1,1,1,,,392,0.0026
calipmatch,stata,ssc,1,1,3,,,1075,0.0009
concordance,r,cran,1,1,1,,,392,0.0026
lit,python,pypi,1,2,4,,,224,0.0045
rpart.plot,r,cran,1,4,4,,,392,0.0026
ggimage,r,cran,1,1,1,,,392,0.0026
splancs,r,cran,1,1,1,,,392,0.0026
cppRouting,r,cran,1,3,3,,,392,0.0026
paths,python,pypi,1,11,11,,,224,0.0045
helpers,python,pypi,1,3,3,,,224,0.0045
ia,python,pypi,1,1,1,,,224,0.0045
tikzplotlib,python,pypi,1,3,3,,,224,0.0045
glmm,python,pypi,1,18,21,,,224,0.0045
vcv,python,pypi,1,2,2,,,224,0.0045
wbopendata,stata,ssc,1,1,3,,,1075,0.0009
ddm,python,pypi,1,6,6,,,224,0.0045
qrng,r,cran,1,2,7,,,392,0.0026
uuid,r,cran,1,2,2,,,392,0.0026
palmerpenguins,r,cran,1,1,1,,,392,0.0026
stringmagic,r,cran,1,14,20,,,392,0.0026
dreamerr,r,cran,1,2,2,,,392,0.0026
DRDID,r,cran,1,2,2,,,392,0.0026
BMisc,r,cran,1,1,1,,,392,0.0026
wid,stata,ssc,1,1,3,,,1075,0.0009
ray,python,pypi,1,7,7,,,224,0.0045
threadpoolctl,python,pypi,1,1,1,,,224,0.0045
optax,python,pypi,1,3,3,,,224,0.0045
orbax,python,pypi,1,3,3,,,224,0.0045
flax,python,pypi,1,1,2,,,224,0.0045
ml-collections,python,pypi,1,1,1,,,224,0.0045
chex,python,pypi,1,2,2,,,224,0.0045
SciencePlots,python,pypi,1,2,2,,,224,0.0045
scatterpie,r,cran,1,1,1,,,392,0.0026
spellutil,stata,ssc,1,8,11,,,1075,0.0009
strucchangeRcpp,r,cran,1,1,1,,,392,0.0026
kit,r,cran,1,3,5,,,392,0.0026
duckdbfs,r,cran,1,4,8,,,392,0.0026
future.callr,r,cran,1,1,1,,,392,0.0026
asrol,stata,ssc,1,1,1,,,1075,0.0009
devEMF,r,cran,1,1,1,,,392,0.0026
stratEst,r,cran,1,2,2,,,392,0.0026
colorscience,r,cran,1,2,2,,,392,0.0026
cpnet,python,pypi,1,1,1,,,224,0.0045
missForest,r,cran,1,1,1,,,392,0.0026
ggdist,r,cran,1,1,1,,,392,0.0026
kernlab,r,cran,1,1,1,,,392,0.0026
lsei,r,cran,1,2,2,,,392,0.0026
ivmte,r,cran,1,1,1,,,392,0.0026
pingouin,python,pypi,1,1,1,,,224,0.0045
quanteda,r,cran,1,1,1,,,392,0.0026
gutenbergr,r,cran,1,1,1,,,392,0.0026
topicmodels,r,cran,1,1,1,,,392,0.0026
pals,r,cran,1,1,1,,,392,0.0026
OpenMx,r,cran,1,9,9,,,392,0.0026
dmout,stata,ssc,1,1,7,,,1075,0.0009
tryCatchLog,r,cran,1,1,1,,,392,0.0026
xtbalance,stata,ssc,1,2,2,,,1075,0.0009
mw,python,pypi,1,2,2,,,224,0.0045
data,python,pypi,1,4,4,,,224,0.0045
query,python,pypi,1,4,4,,,224,0.0045
tidygeocoder,r,cran,1,2,2,,,392,0.0026
mfp,r,cran,1,1,1,,,392,0.0026
corrr,r,cran,1,1,1,,,392,0.0026
spgrid,stata,ssc,1,1,1,,,1075,0.0009
spkde,stata,ssc,1,1,2,,,1075,0.0009
tm.plugin.factiva,r,cran,1,1,1,,,392,0.0026
desctable,r,cran,1,1,1,,,392,0.0026
colorRamps,r,cran,1,1,1,,,392,0.0026
ucminf,r,cran,1,1,1,,,392,0.0026
pglm,r,cran,1,2,2,,,392,0.0026
RhpcBLASctl,r,cran,1,1,1,,,392,0.0026
readreplace,stata,ssc,1,1,2,,,1075,0.0009
testjfe,stata,ssc,1,1,2,,,1075,0.0009
shapley2,stata,ssc,1,1,1,,,1075,0.0009
ivgmm0,stata,ssc,1,3,3,,,1075,0.0009
overid,stata,ssc,1,3,4,,,1075,0.0009
ivendog,stata,ssc,1,3,3,,,1075,0.0009
movestay,stata,ssc,1,1,1,,,1075,0.0009
kSamples,r,cran,1,3,5,,,392,0.0026
pastecs,r,cran,1,1,1,,,392,0.0026
numdifftools,python,pypi,1,1,1,,,224,0.0045
cvxopt,python,pypi,1,1,1,,,224,0.0045
ad,python,pypi,1,4,6,,,224,0.0045
arguments,python,pypi,1,1,1,,,224,0.0045
eds,python,pypi,1,1,1,,,224,0.0045
compecon,python,pypi,1,1,1,,,224,0.0045
autodiff,python,pypi,1,3,3,,,224,0.0045
rddsga,stata,ssc,1,1,2,,,1075,0.0009
contractions,python,pypi,1,1,1,,,224,0.0045
geocode,stata,ssc,1,1,1,,,1075,0.0009
sankeyplot,stata,ssc,1,1,1,,,1075,0.0009
cmdstanpy,python,pypi,1,4,4,,,224,0.0045
geojsonsf,r,cran,1,1,1,,,392,0.0026
logger,r,cran,1,1,1,,,392,0.0026
readODS,r,cran,1,1,2,,,392,0.0026
directlabels,r,cran,1,1,8,,,392,0.0026
googledrive,r,cran,1,1,1,,,392,0.0026
grateful,r,cran,1,1,1,,,392,0.0026
cv_regress,stata,ssc,1,1,1,,,1075,0.0009
plotting,python,pypi,1,20,22,,,224,0.0045
extra,python,pypi,1,5,6,,,224,0.0045
bootstrap,python,pypi,1,1,1,,,224,0.0045
locfdr,r,cran,1,1,1,,,392,0.0026
spacyr,r,cran,1,1,1,,,392,0.0026
sicff,stata,ssc,1,1,2,,,1075,0.0009
gmodels,r,cran,1,1,1,,,392,0.0026
binom,r,cran,1,1,2,,,392,0.0026
reldist,r,cran,1,1,1,,,392,0.0026
gender-detector,python,pypi,1,11,11,,,224,0.0045
rcd,stata,ssc,1,1,1,,,1075,0.0009
distcomp,stata,ssc,1,1,1,,,1075,0.0009
boost,stata,ssc,1,1,4,,,1075,0.0009
semipar,stata,ssc,1,1,2,,,1075,0.0009
tidyterra,r,cran,1,1,1,,,392,0.0026
rd,stata,ssc,1,1,1,,,1075,0.0009
leftalign,stata,ssc,1,1,1,,,1075,0.0009
qpfit,stata,ssc,1,1,2,,,1075,0.0009
cluster2,stata,ssc,1,2,11,,,1075,0.0009
reg_ss,stata,ssc,1,1,3,,,1075,0.0009
hdi,r,cran_archive,1,2,2,,,392,0.0026
torch,r,cran,1,1,1,,,392,0.0026
lightgbm,r,cran,1,1,1,,,392,0.0026
paretofit,stata,ssc,1,3,6,,,1075,0.0009
regaxis,stata,ssc,1,1,48,,,1075,0.0009
intervals,r,cran,1,1,5,,,392,0.0026
ROI,r,cran,1,1,1,,,392,0.0026
officer,r,cran,1,1,1,,,392,0.0026
ggtern,r,cran,1,1,1,,,392,0.0026
stackedev,stata,ssc,1,1,1,,,1075,0.0009
ugd,python,pypi,1,1,1,,,224,0.0045
NLRoot,r,cran_archive,1,3,3,,,392,0.0026
touch,stata,ssc,1,2,6,,,1075,0.0009
pandas_market_calendars,python,pypi,1,3,3,,,224,0.0045
syllable,r,cran_archive,1,1,1,,,392,0.0026
readability,r,cran_archive,1,1,1,,,392,0.0026
textatistic,python,pypi,1,1,1,,,224,0.0045
hyphen,python,pypi,1,3,5,,,224,0.0045
preprocessing,python,pypi,1,4,7,,,224,0.0045
constant,python,pypi,1,6,6,,,224,0.0045
tika,python,pypi,1,1,1,,,224,0.0045
plotbeta,stata,ssc,1,1,8,,,1075,0.0009
qs,r,cran_archive,1,1,1,,,392,0.0026
RStata,r,cran,1,1,1,,,392,0.0026
pbmcapply,r,cran,1,1,1,,,392,0.0026
LiblineaR,r,cran,1,2,4,,,392,0.0026
stepPlr,r,cran,1,2,2,,,392,0.0026
elasticnet,r,cran,1,2,2,,,392,0.0026
kernel,stata,ssc,1,1,1,,,1075,0.0009
mcmcse,r,cran,1,2,6,,,392,0.0026
posterior,r,cran,1,2,12,,,392,0.0026
OpenMPController,r,cran_archive,1,3,3,,,392,0.0026
batchtools,r,cran,1,1,1,,,392,0.0026
chartab,stata,ssc,1,1,17,,,1075,0.0009
expandby,stata,ssc,1,1,3,,,1075,0.0009
find,stata,ssc,1,1,1,,,1075,0.0009
modi,r,cran,1,7,7,,,392,0.0026
Amelia,r,cran,1,1,1,,,392,0.0026
mitools,r,cran,1,1,1,,,392,0.0026
myaxis,stata,ssc,1,3,3,,,1075,0.0009
sxpose2,stata,ssc,1,2,2,,,1075,0.0009
eret2,stata,ssc,1,17,95,,,1075,0.0009
mhtexp,stata,ssc,1,1,1,,,1075,0.0009
montecarlo,python,pypi,1,2,2,,,224,0.0045
modelsettings,python,pypi,1,13,13,,,224,0.0045
wordcloud2,r,cran,1,4,4,,,392,0.0026
kmodes,python,pypi,1,1,1,,,224,0.0045
wesanderson,r,cran,1,1,1,,,392,0.0026
gmapsdistance,r,cran,1,1,1,,,392,0.0026
SCtools,r,cran,1,1,2,,,392,0.0026
epitools,r,cran,1,1,1,,,392,0.0026
fabricatr,r,cran,1,1,1,,,392,0.0026
matamatrix,stata,ssc,1,1,1,,,1075,0.0009
contourpy,python,pypi,1,2,5,,,224,0.0045
fmsb,r,cran,1,1,1,,,392,0.0026
CausalImpact,r,cran,1,2,3,,,392,0.0026
keras,r,cran,1,1,8,,,392,0.0026
Synth,r,cran,1,10,10,,,392,0.0026
preamble,python,pypi,1,2,2,,,224,0.0045
ngramr,r,cran,1,1,2,,,392,0.0026
mle.tools,r,cran_archive,1,1,1,,,392,0.0026
shinycssloaders,r,cran,1,1,1,,,392,0.0026
colorscatter,stata,ssc,1,1,1,,,1075,0.0009
levpredict,stata,ssc,1,2,2,,,1075,0.0009
multiprocess,python,pypi,1,1,1,,,224,0.0045
DoubleML,python,pypi,1,2,2,,,224,0.0045
probit,python,pypi,1,1,1,,,224,0.0045
twostep,stata,ssc,1,1,2,,,1075,0.0009
rpme,stata,ssc,1,1,2,,,1075,0.0009
markdown,r,cran,1,1,1,,,392,0.0026
skimr,r,cran,1,4,4,,,392,0.0026
tabform,stata,ssc,1,2,4,,,1075,0.0009
xtable,stata,ssc,1,1,1,,,1075,0.0009
ldtest,stata,ssc,1,1,2,,,1075,0.0009
hamiltonfilter,stata,ssc,1,2,2,,,1075,0.0009
dvmisc,r,cran_archive,1,4,4,,,392,0.0026
spearman2,stata,ssc,1,1,1,,,1075,0.0009
simulation,python,pypi,1,4,5,,,224,0.0045
general,python,pypi,1,2,2,,,224,0.0045
contracting,python,pypi,1,10,33,,,224,0.0045
torchvision,python,pypi,1,1,3,,,224,0.0045
likert,r,cran,1,1,1,,,392,0.0026
google-ngram-downloader,python,pypi,1,1,1,,,224,0.0045
psycopg2-binary,python,pypi,1,2,2,,,224,0.0045
database-connection,python,pypi,1,1,1,,,224,0.0045
strgroup,stata,ssc,1,16,73,,,1075,0.0009
TMB,r,cran,1,1,1,,,392,0.0026
sjPlot,r,cran,1,1,1,,,392,0.0026
lmeresampler,r,cran,1,1,1,,,392,0.0026
sphdist,stata,ssc,1,1,1,,,1075,0.0009
R.devices,r,cran,1,2,2,,,392,0.0026
cairoDevice,r,cran_archive,1,2,2,,,392,0.0026
processing,python,pypi,1,1,1,,,224,0.0045
insheetjson,stata,ssc,1,1,2,,,1075,0.0009
robbox,stata,ssc,1,1,2,,,1075,0.0009
which_version,stata,ssc,1,1,1,,,1075,0.0009
xtdcce2,stata,ssc,1,1,1,,,1075,0.0009
matrixcalc,r,cran,1,1,1,,,392,0.0026
dummies,r,cran_archive,1,5,5,,,392,0.0026
mads,stata,ssc,1,1,33,,,1075,0.0009
marktouse,stata,ssc,1,8,27,,,1075,0.0009
excel2latex,stata,ssc,1,1,1,,,1075,0.0009
lightgbm,python,pypi,1,2,2,,,224,0.0045
SQLAlchemy,python,pypi,1,2,2,,,224,0.0045
totalcensus,r,cran,1,1,1,,,392,0.0026
re2,r,cran,1,1,1,,,392,0.0026
distr,r,cran,1,1,2,,,392,0.0026
mplotoffset,stata,ssc,1,1,2,,,1075,0.0009
eventstudy,stata,ssc,1,7,11,,,1075,0.0009
kdens2,stata,ssc,1,1,1,,,1075,0.0009
bizdays,r,cran,1,1,1,,,392,0.0026
stargazer,python,pypi,1,1,1,,,224,0.0045
rhdf5,r,bioconductor,1,4,4,,,392,0.0026
postrcspline,stata,ssc,1,4,34,,,1075,0.0009
vc_pack,stata,ssc,1,1,1,,,1075,0.0009
src,python,pypi,1,14,23,,,224,0.0045
pystata,python,pypi,1,1,1,,,224,0.0045
interpolation,python,pypi,1,7,19,,,224,0.0045
pyRVtest,python,pypi,1,3,3,,,224,0.0045
Imap,r,cran_archive,1,1,1,,,392,0.0026
pathos,python,pypi,1,1,1,,,224,0.0045
logging-config,python,pypi,1,1,1,,,224,0.0045
hark,python,pypi,1,16,41,,,224,0.0045
simulate,python,pypi,1,2,2,,,224,0.0045
NbClust,r,cran,1,2,2,,,392,0.0026
clValid,r,cran,1,2,2,,,392,0.0026
fpc,r,cran,1,2,2,,,392,0.0026
Iso,r,cran,1,1,1,,,392,0.0026
mirai,r,cran,1,4,12,,,392,0.0026
synthReturn,r,cran,1,2,2,,,392,0.0026
easyalluvial,r,cran,1,1,2,,,392,0.0026
ggalluvial,r,cran,1,1,1,,,392,0.0026
ggforce,r,cran,1,1,3,,,392,0.0026
ggprism,r,cran,1,2,2,,,392,0.0026
tidyfast,r,cran,1,1,1,,,392,0.0026
frenchdata,r,cran,1,2,3,,,392,0.0026
matlab,python,pypi,1,1,2,,,224,0.0045
mixmeta,r,cran,1,1,2,,,392,0.0026
poibin,r,cran,1,1,1,,,392,0.0026
pso,r,cran,1,1,2,,,392,0.0026
PyPrind,python,pypi,1,1,1,,,224,0.0045
diptest,r,cran,1,1,1,,,392,0.0026
multimode,r,cran,1,1,1,,,392,0.0026
skewt,r,cran,1,1,1,,,392,0.0026
seasonal,r,cran,1,1,1,,,392,0.0026
hash,r,cran,1,5,5,,,392,0.0026
numbers,r,cran,1,14,14,,,392,0.0026
splitstackshape,r,cran,1,1,1,,,392,0.0026
comprehenr,r,cran,1,1,1,,,392,0.0026
selectiveInference,r,cran,1,2,2,,,392,0.0026
BBSSL,r,cran_archive,1,2,2,,,392,0.0026
ADtools,r,cran_archive,1,1,1,,,392,0.0026
randcmdci,stata,ssc,1,4,7,,,1075,0.0009
hhi,stata,ssc,1,1,1,,,1075,0.0009
didimputation,r,cran,1,2,2,,,392,0.0026
paletteer,r,cran,1,3,3,,,392,0.0026
mpi4py,python,pypi,1,6,6,,,224,0.0045
timestamp,python,pypi,1,1,1,,,224,0.0045
filesearch,stata,ssc,1,1,2,,,1075,0.0009
psy,r,cran,1,1,1,,,392,0.0026
simpleboot,r,cran,1,1,1,,,392,0.0026
gamlss,r,cran,1,1,1,,,392,0.0026
gghalves,r,cran_archive,1,1,1,,,392,0.0026
zTree,r,cran,1,1,1,,,392,0.0026
arsenal,r,cran,1,1,1,,,392,0.0026
matodd,stata,ssc,1,1,1,,,1075,0.0009
log2html,stata,ssc,1,1,1,,,1075,0.0009
lpdensity,python,pypi,1,3,5,,,224,0.0045
lpdensity,r,cran,1,1,1,,,392,0.0026
lpdensity,stata,ssc,1,1,10,,,1075,0.0009
rddensity,python,pypi,1,2,2,,,224,0.0045
xmiss,stata,ssc,1,1,2,,,1075,0.0009
twfe,stata,ssc,1,1,2,,,1075,0.0009
timeit,stata,ssc,1,3,18,,,1075,0.0009
rdrobust,python,pypi,1,5,6,,,224,0.0045
classification,python,pypi,1,8,8,,,224,0.0045
encode,python,pypi,1,11,11,,,224,0.0045
indexing,python,pypi,1,8,8,,,224,0.0045
measurements,python,pypi,1,6,6,,,224,0.0045
myMath,python,pypi,1,14,14,,,224,0.0045
output,python,pypi,1,6,6,,,224,0.0045
svm,python,pypi,1,1,1,,,224,0.0045
