id,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType,type
3042712,DVN/SVDD2B,https://doi.org/10.7910/DVN/SVDD2B,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/SVDD2B,dataset,dataset
3042719,DVN/OMYULN,https://doi.org/10.7910/DVN/OMYULN,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/OMYULN,dataset,dataset
3042724,DVN/UWG0TJ,https://doi.org/10.7910/DVN/UWG0TJ,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/UWG0TJ,dataset,dataset
3044566,DVN/BNGDFO,https://doi.org/10.7910/DVN/BNGDFO,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/BNGDFO,dataset,dataset
3044568,DVN/OSLJ2Z,https://doi.org/10.7910/DVN/OSLJ2Z,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/OSLJ2Z,dataset,dataset
3044575,DVN/HATIYO,https://doi.org/10.7910/DVN/HATIYO,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/HATIYO,dataset,dataset
3044580,DVN/RWHDIJ,https://doi.org/10.7910/DVN/RWHDIJ,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/RWHDIJ,dataset,dataset
3044590,DVN/MVCLDA,https://doi.org/10.7910/DVN/MVCLDA,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/MVCLDA,dataset,dataset
3044594,DVN/OYNFCI,https://doi.org/10.7910/DVN/OYNFCI,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/OYNFCI,dataset,dataset
3044597,DVN/GZCHJC,https://doi.org/10.7910/DVN/GZCHJC,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/GZCHJC,dataset,dataset
3044602,DVN/OYI55F,https://doi.org/10.7910/DVN/OYI55F,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/OYI55F,dataset,dataset
3044607,DVN/RX3CFQ,https://doi.org/10.7910/DVN/RX3CFQ,doi,10.7910,/,Harvard Dataverse,2017-08-15,s3://10.7910/DVN/RX3CFQ,dataset,dataset
3046764,DVN/CYIXIW,https://doi.org/10.7910/DVN/CYIXIW,doi,10.7910,/,Harvard Dataverse,2017-08-23,s3://10.7910/DVN/CYIXIW,dataset,dataset
3046767,DVN/DRZCQB,https://doi.org/10.7910/DVN/DRZCQB,doi,10.7910,/,Harvard Dataverse,2017-08-23,s3://10.7910/DVN/DRZCQB,dataset,dataset
3046770,DVN/NSDEJD,https://doi.org/10.7910/DVN/NSDEJD,doi,10.7910,/,Harvard Dataverse,2017-08-23,s3://10.7910/DVN/NSDEJD,dataset,dataset
3046773,DVN/EYCE4O,https://doi.org/10.7910/DVN/EYCE4O,doi,10.7910,/,Harvard Dataverse,2017-08-23,s3://10.7910/DVN/EYCE4O,dataset,dataset
3046779,DVN/J3VXNF,https://doi.org/10.7910/DVN/J3VXNF,doi,10.7910,/,Harvard Dataverse,2017-08-23,s3://10.7910/DVN/J3VXNF,dataset,dataset
3046782,DVN/C0GITL,https://doi.org/10.7910/DVN/C0GITL,doi,10.7910,/,Harvard Dataverse,2017-08-23,s3://10.7910/DVN/C0GITL,dataset,dataset
3046784,DVN/G1FLRY,https://doi.org/10.7910/DVN/G1FLRY,doi,10.7910,/,Harvard Dataverse,2017-08-23,s3://dvn-cloud:10.7910/DVN/G1FLRY,dataset,dataset
3046789,DVN/USQH7D,https://doi.org/10.7910/DVN/USQH7D,doi,10.7910,/,Harvard Dataverse,2017-08-24,s3://10.7910/DVN/USQH7D,dataset,dataset
3046793,DVN/MNMVYH,https://doi.org/10.7910/DVN/MNMVYH,doi,10.7910,/,Harvard Dataverse,2017-08-24,s3://10.7910/DVN/MNMVYH,dataset,dataset
3046799,DVN/AHBXWA,https://doi.org/10.7910/DVN/AHBXWA,doi,10.7910,/,Harvard Dataverse,2017-08-24,s3://10.7910/DVN/AHBXWA,dataset,dataset
3046803,DVN/NFLVJG,https://doi.org/10.7910/DVN/NFLVJG,doi,10.7910,/,Harvard Dataverse,2017-08-24,s3://10.7910/DVN/NFLVJG,dataset,dataset
3046806,DVN/P0TZCE,https://doi.org/10.7910/DVN/P0TZCE,doi,10.7910,/,Harvard Dataverse,2017-08-24,s3://10.7910/DVN/P0TZCE,dataset,dataset
