type,id,title,identifier,persistentUrl,protocol,authority,separator,publisher,publicationDate,storageIdentifier,datasetType
dataset,3333985,,DVN/CFPACR,https://doi.org/10.7910/DVN/CFPACR,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/CFPACR,dataset
dataset,3336254,,DVN/YKDXJL,https://doi.org/10.7910/DVN/YKDXJL,doi,10.7910,/,Harvard Dataverse,2019-01-08,s3://10.7910/DVN/YKDXJL,dataset
dataset,3336521,,DVN/LH7RM3,https://doi.org/10.7910/DVN/LH7RM3,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/LH7RM3,dataset
dataset,3336528,,DVN/VJCL6D,https://doi.org/10.7910/DVN/VJCL6D,doi,10.7910,/,Harvard Dataverse,2019-01-04,s3://10.7910/DVN/VJCL6D,dataset
dataset,3337556,,DVN/YDC4XD,https://doi.org/10.7910/DVN/YDC4XD,doi,10.7910,/,Harvard Dataverse,2019-03-21,s3://10.7910/DVN/YDC4XD,dataset
dataset,3338094,,DVN/88AACL,https://doi.org/10.7910/DVN/88AACL,doi,10.7910,/,Harvard Dataverse,2019-01-14,s3://10.7910/DVN/88AACL,dataset
dataset,3344914,,DVN/VYGJAM,https://doi.org/10.7910/DVN/VYGJAM,doi,10.7910,/,Harvard Dataverse,2019-01-15,s3://10.7910/DVN/VYGJAM,dataset
dataset,3345299,,DVN/XYYAQC,https://doi.org/10.7910/DVN/XYYAQC,doi,10.7910,/,Harvard Dataverse,2019-01-17,s3://10.7910/DVN/XYYAQC,dataset
dataset,3345346,,DVN/28HGPY,https://doi.org/10.7910/DVN/28HGPY,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/28HGPY,dataset
dataset,3347352,,DVN/8WCOCN,https://doi.org/10.7910/DVN/8WCOCN,doi,10.7910,/,Harvard Dataverse,2019-01-25,s3://10.7910/DVN/8WCOCN,dataset
dataset,3347760,,DVN/USP7LQ,https://doi.org/10.7910/DVN/USP7LQ,doi,10.7910,/,Harvard Dataverse,2019-01-26,s3://10.7910/DVN/USP7LQ,dataset
dataset,3349918,,DVN/T89O95,https://doi.org/10.7910/DVN/T89O95,doi,10.7910,/,Harvard Dataverse,2019-02-01,s3://10.7910/DVN/T89O95,dataset
dataset,3355356,,DVN/WFRUXM,https://doi.org/10.7910/DVN/WFRUXM,doi,10.7910,/,Harvard Dataverse,2019-02-08,s3://10.7910/DVN/WFRUXM,dataset
dataset,3363580,,DVN/T4GBDS,https://doi.org/10.7910/DVN/T4GBDS,doi,10.7910,/,Harvard Dataverse,2019-02-22,s3://10.7910/DVN/T4GBDS,dataset
dataset,3370049,,DVN/59NTIL,https://doi.org/10.7910/DVN/59NTIL,doi,10.7910,/,Harvard Dataverse,2019-03-02,s3://10.7910/DVN/59NTIL,dataset
dataset,3374020,,DVN/BRJNBS,https://doi.org/10.7910/DVN/BRJNBS,doi,10.7910,/,Harvard Dataverse,2019-04-08,s3://10.7910/DVN/BRJNBS,dataset
dataset,3376571,,DVN/YXWASQ,https://doi.org/10.7910/DVN/YXWASQ,doi,10.7910,/,Harvard Dataverse,2019-03-21,s3://10.7910/DVN/YXWASQ,dataset
dataset,3377047,,DVN/R9PGXI,https://doi.org/10.7910/DVN/R9PGXI,doi,10.7910,/,Harvard Dataverse,2019-04-08,s3://10.7910/DVN/R9PGXI,dataset
dataset,3392242,,DVN/OQG8DB,https://doi.org/10.7910/DVN/OQG8DB,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/OQG8DB,dataset
dataset,3425387,,DVN/NNXBHP,https://doi.org/10.7910/DVN/NNXBHP,doi,10.7910,/,Harvard Dataverse,2019-05-06,s3://10.7910/DVN/NNXBHP,dataset
dataset,3427302,,DVN/GZRCCJ,https://doi.org/10.7910/DVN/GZRCCJ,doi,10.7910,/,Harvard Dataverse,2019-05-12,s3://10.7910/DVN/GZRCCJ,dataset
dataset,3431893,,DVN/MPLQUI,https://doi.org/10.7910/DVN/MPLQUI,doi,10.7910,/,Harvard Dataverse,2019-05-21,s3://10.7910/DVN/MPLQUI,dataset
dataset,3436975,,DVN/GUATS6,https://doi.org/10.7910/DVN/GUATS6,doi,10.7910,/,Harvard Dataverse,2019-05-25,s3://10.7910/DVN/GUATS6,dataset
dataset,3441426,,DVN/7PAB1N,https://doi.org/10.7910/DVN/7PAB1N,doi,10.7910,/,Harvard Dataverse,2019-05-31,s3://10.7910/DVN/7PAB1N,dataset
dataset,3442643,,DVN/J33F9O,https://doi.org/10.7910/DVN/J33F9O,doi,10.7910,/,Harvard Dataverse,2019-06-12,s3://10.7910/DVN/J33F9O,dataset
dataset,3451049,,DVN/FY7SVG,https://doi.org/10.7910/DVN/FY7SVG,doi,10.7910,/,Harvard Dataverse,2019-06-14,s3://10.7910/DVN/FY7SVG,dataset
dataset,3452893,,DVN/Q7USJQ,https://doi.org/10.7910/DVN/Q7USJQ,doi,10.7910,/,Harvard Dataverse,2019-06-21,s3://10.7910/DVN/Q7USJQ,dataset
dataset,3464390,,DVN/PURXWF,https://doi.org/10.7910/DVN/PURXWF,doi,10.7910,/,Harvard Dataverse,2019-07-06,s3://10.7910/DVN/PURXWF,dataset
dataset,3475137,,DVN/CMVB4Q,https://doi.org/10.7910/DVN/CMVB4Q,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/CMVB4Q,dataset
dataset,3493317,,DVN/BGTAGA,https://doi.org/10.7910/DVN/BGTAGA,doi,10.7910,/,Harvard Dataverse,2019-08-08,s3://10.7910/DVN/BGTAGA,dataset
dataset,3539180,,DVN/YBCZHI,https://doi.org/10.7910/DVN/YBCZHI,doi,10.7910,/,Harvard Dataverse,2019-08-17,s3://10.7910/DVN/YBCZHI,dataset
dataset,3583845,,DVN/0PVY33,https://doi.org/10.7910/DVN/0PVY33,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/0PVY33,dataset
dataset,3588643,,DVN/SKUWAQ,https://doi.org/10.7910/DVN/SKUWAQ,doi,10.7910,/,Harvard Dataverse,2019-09-23,s3://10.7910/DVN/SKUWAQ,dataset
dataset,3589122,,DVN/RUNY3Y,https://doi.org/10.7910/DVN/RUNY3Y,doi,10.7910,/,Harvard Dataverse,2019-09-24,s3://10.7910/DVN/RUNY3Y,dataset
dataset,3596782,,DVN/HPMEVO,https://doi.org/10.7910/DVN/HPMEVO,doi,10.7910,/,Harvard Dataverse,2019-10-09,s3://10.7910/DVN/HPMEVO,dataset
dataset,3596830,,DVN/CVOTBI,https://doi.org/10.7910/DVN/CVOTBI,doi,10.7910,/,Harvard Dataverse,2019-10-04,s3://10.7910/DVN/CVOTBI,dataset
dataset,3599418,,DVN/J9IJGM,https://doi.org/10.7910/DVN/J9IJGM,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/J9IJGM,dataset
dataset,3603736,,DVN/YN03BJ,https://doi.org/10.7910/DVN/YN03BJ,doi,10.7910,/,Harvard Dataverse,2019-10-17,s3://10.7910/DVN/YN03BJ,dataset
dataset,3605891,,DVN/MMG1F3,https://doi.org/10.7910/DVN/MMG1F3,doi,10.7910,/,Harvard Dataverse,2019-10-16,s3://10.7910/DVN/MMG1F3,dataset
dataset,3608418,,DVN/7JW4EL,https://doi.org/10.7910/DVN/7JW4EL,doi,10.7910,/,Harvard Dataverse,2019-10-18,s3://10.7910/DVN/7JW4EL,dataset
dataset,3623871,,DVN/01F70K,https://doi.org/10.7910/DVN/01F70K,doi,10.7910,/,Harvard Dataverse,2020-02-28,s3://10.7910/DVN/01F70K,dataset
dataset,3624916,,DVN/X6MMEJ,https://doi.org/10.7910/DVN/X6MMEJ,doi,10.7910,/,Harvard Dataverse,2019-11-15,s3://10.7910/DVN/X6MMEJ,dataset
dataset,3630624,,DVN/GAX8JV,https://doi.org/10.7910/DVN/GAX8JV,doi,10.7910,/,Harvard Dataverse,2019-11-22,s3://10.7910/DVN/GAX8JV,dataset
dataset,3641729,,DVN/KKUZXW,https://doi.org/10.7910/DVN/KKUZXW,doi,10.7910,/,Harvard Dataverse,2020-04-22,s3://10.7910/DVN/KKUZXW,dataset
dataset,3643678,,DVN/ZKDNHH,https://doi.org/10.7910/DVN/ZKDNHH,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/ZKDNHH,dataset
dataset,3643928,,DVN/TRR0DK,https://doi.org/10.7910/DVN/TRR0DK,doi,10.7910,/,Harvard Dataverse,2020-01-27,s3://10.7910/DVN/TRR0DK,dataset
dataset,3651339,,DVN/Z6YXV0,https://doi.org/10.7910/DVN/Z6YXV0,doi,10.7910,/,Harvard Dataverse,2019-12-20,s3://10.7910/DVN/Z6YXV0,dataset
dataset,3653494,,DVN/TGMF6R,https://doi.org/10.7910/DVN/TGMF6R,doi,10.7910,/,Harvard Dataverse,2019-12-30,s3://10.7910/DVN/TGMF6R,dataset
dataset,3666388,,DVN/SUDLEG,https://doi.org/10.7910/DVN/SUDLEG,doi,10.7910,/,Harvard Dataverse,2020-01-22,s3://10.7910/DVN/SUDLEG,dataset
dataset,3674393,,DVN/TDDMIB,https://doi.org/10.7910/DVN/TDDMIB,doi,10.7910,/,Harvard Dataverse,2020-02-28,s3://10.7910/DVN/TDDMIB,dataset
dataset,3674955,,DVN/9GMWFE,https://doi.org/10.7910/DVN/9GMWFE,doi,10.7910,/,Harvard Dataverse,2020-02-07,s3://10.7910/DVN/9GMWFE,dataset
dataset,3725701,,DVN/GZDRRG,https://doi.org/10.7910/DVN/GZDRRG,doi,10.7910,/,Harvard Dataverse,2020-02-18,s3://10.7910/DVN/GZDRRG,dataset
dataset,3743626,,DVN/WGPDBS,https://doi.org/10.7910/DVN/WGPDBS,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/WGPDBS,dataset
dataset,3783517,,DVN/FRBXQW,https://doi.org/10.7910/DVN/FRBXQW,doi,10.7910,/,Harvard Dataverse,2020-03-27,s3://10.7910/DVN/FRBXQW,dataset
dataset,3783645,,DVN/IONQ8V,https://doi.org/10.7910/DVN/IONQ8V,doi,10.7910,/,Harvard Dataverse,2020-06-01,s3://10.7910/DVN/IONQ8V,dataset
dataset,3788863,,DVN/X4EUKO,https://doi.org/10.7910/DVN/X4EUKO,doi,10.7910,/,Harvard Dataverse,2020-04-01,s3://10.7910/DVN/X4EUKO,dataset
dataset,3796807,,DVN/O8MLXX,https://doi.org/10.7910/DVN/O8MLXX,doi,10.7910,/,Harvard Dataverse,2020-04-07,s3://10.7910/DVN/O8MLXX,dataset
dataset,3802374,,DVN/KDGUS6,https://doi.org/10.7910/DVN/KDGUS6,doi,10.7910,/,Harvard Dataverse,2020-04-16,s3://10.7910/DVN/KDGUS6,dataset
dataset,3814432,,DVN/QWVACY,https://doi.org/10.7910/DVN/QWVACY,doi,10.7910,/,Harvard Dataverse,2020-04-25,s3://10.7910/DVN/QWVACY,dataset
dataset,3819700,,DVN/OQBWQ4,https://doi.org/10.7910/DVN/OQBWQ4,doi,10.7910,/,Harvard Dataverse,2020-04-27,s3://10.7910/DVN/OQBWQ4,dataset
dataset,3819710,,DVN/BU9XAZ,https://doi.org/10.7910/DVN/BU9XAZ,doi,10.7910,/,Harvard Dataverse,2020-04-27,s3://10.7910/DVN/BU9XAZ,dataset
