collection_id,source,dataset_id,persistent_id,protocol,authority,identifier,publication_date
restat,dataverse,,https://doi.org/10.7910/DVN/26903,doi,10.7910,DVN/26903,2014-08-04
restat,dataverse,,https://doi.org/10.7910/DVN/8IDRTG,doi,10.7910,DVN/8IDRTG,2013-01-11
restat,dataverse,,https://doi.org/10.7910/DVN/5FNJLN,doi,10.7910,DVN/5FNJLN,2012-05-08
restat,dataverse,,https://doi.org/10.7910/DVN/19VCPG,doi,10.7910,DVN/19VCPG,2012-01-17
restat,dataverse,,https://doi.org/10.7910/DVN/28406,doi,10.7910,DVN/28406,2015-01-07
restat,dataverse,,https://doi.org/10.7910/DVN/29563,doi,10.7910,DVN/29563,2015-03-23
restat,dataverse,,https://doi.org/10.7910/DVN/5NWRNW,doi,10.7910,DVN/5NWRNW,2012-05-10
restat,dataverse,,https://doi.org/10.7910/DVN/GYVBNX,doi,10.7910,DVN/GYVBNX,2011-04-19
restat,dataverse,,https://doi.org/10.7910/DVN/26888,doi,10.7910,DVN/26888,2014-08-04
restat,dataverse,,https://doi.org/10.7910/DVN/QROGX6,doi,10.7910,DVN/QROGX6,2010-11-23
restat,dataverse,,https://doi.org/10.7910/DVN/25496,doi,10.7910,DVN/25496,2014-04-11
restat,dataverse,,https://doi.org/10.7910/DVN/YE5XZS,doi,10.7910,DVN/YE5XZS,2010-10-19
restat,dataverse,,https://doi.org/10.7910/DVN/6T1NBL,doi,10.7910,DVN/6T1NBL,2012-07-19
restat,dataverse,,https://doi.org/10.7910/DVN/GKSAJL,doi,10.7910,DVN/GKSAJL,2013-04-05
restat,dataverse,,https://doi.org/10.7910/DVN/X9F0JG,doi,10.7910,DVN/X9F0JG,2011-01-14
restat,dataverse,,https://doi.org/10.7910/DVN/27451,doi,10.7910,DVN/27451,2014-09-29
restat,dataverse,,https://doi.org/10.7910/DVN/DSCKVC,doi,10.7910,DVN/DSCKVC,2011-03-31
restat,dataverse,,https://doi.org/10.7910/DVN/GDJZ08,doi,10.7910,DVN/GDJZ08,2013-03-04
restat,dataverse,,https://doi.org/10.7910/DVN/27802,doi,10.7910,DVN/27802,2014-11-14
restat,dataverse,,https://doi.org/10.7910/DVN/27700,doi,10.7910,DVN/27700,2014-10-28
restat,dataverse,,https://doi.org/10.7910/DVN/24567,doi,10.7910,DVN/24567,2014-01-30
restat,dataverse,,https://doi.org/10.7910/DVN/26717,doi,10.7910,DVN/26717,2014-07-17
restat,dataverse,,https://doi.org/10.7910/DVN/26909,doi,10.7910,DVN/26909,2015-03-26
restat,dataverse,,https://doi.org/10.7910/DVN/IRNEGM,doi,10.7910,DVN/IRNEGM,2013-02-11
restat,dataverse,,https://doi.org/10.7910/DVN/7QPEIP,doi,10.7910,DVN/7QPEIP,2012-01-13
restat,dataverse,,https://doi.org/10.7910/DVN/ZZ48BK,doi,10.7910,DVN/ZZ48BK,2014-05-21
restat,dataverse,,https://doi.org/10.7910/DVN/26873,doi,10.7910,DVN/26873,2015-01-16
